V1,FRA_A01_02,FRA_A03,FRA_B05_06,FRA_B07_08,FRA_B09,FRA_C10T12,FRA_C13T15,FRA_C16,FRA_C17_18,FRA_C19,FRA_C20,FRA_C21,FRA_C22,FRA_C23,FRA_C24,FRA_C25,FRA_C26,FRA_C27,FRA_C28,FRA_C29,FRA_C30,FRA_C31T33,FRA_D,FRA_E,FRA_F,FRA_G,FRA_H49,FRA_H50,FRA_H51,FRA_H52,FRA_H53,FRA_I,FRA_J58T60,FRA_J61,FRA_J62_63,FRA_K,FRA_L,FRA_M,FRA_N,FRA_O,FRA_P,FRA_Q,FRA_R,FRA_S,FRA_T,FRA_HFCE,FRA_NPISH,FRA_GGFC,FRA_GFCF,FRA_INVNT,FRA_DPABR
FRA_H49,1095.4023,28.2629,0.652,55.1062,0.8378,2662.4437,284.473,116.5871,270.8328,552.1214,894.7159,217.6556,334.8341,381.8469,298.6642,512.7315,240.8925,208.0605,416.7811,846.5094,446.1537,650.5997,725.6165,226.7503,2318.5498,13102.2496,7768.7302,78.062,137.3939,498.8131,42.1628,1037.8647,648.2256,271.3386,159.5483,266.6313,158.4622,1052.494,501.5524,1895.9791,1076.7033,1204.7654,353.2235,359.8175,0.0,22619.363,106.0669,2870.2188,1660.18,2065.4749,0.2976
FRA_H50,5.9693,0.1799,0.0038,0.3267,0.0128,12.7788,3.3315,0.4359,2.0602,12.9661,6.4014,1.4852,2.7442,1.6578,2.7853,4.257,2.2956,2.1523,3.7538,8.248,6.4955,5.5492,9.2344,1.0238,14.1612,28.4949,1.8759,88.1589,0.8947,36.2519,0.1731,4.9483,1.9717,1.2973,0.8545,0.6917,0.7348,3.5736,11.1134,2.3197,1.0255,4.3174,1.2885,0.9962,0.0,209.8337,0.2349,4.6377,17.2707,162.8798,0.0
FRA_H51,52.4624,3.959,0.0509,3.8284,0.072,169.6623,30.1365,5.0304,20.804,87.5761,77.6835,27.347,27.3917,26.0596,26.0448,41.9711,21.0792,23.0447,34.9376,72.1053,58.7727,50.7275,72.047,16.0713,157.8075,338.016,27.1744,18.0545,620.0731,119.4316,6.3663,101.6855,36.9247,22.5022,54.5029,397.8255,30.6602,340.8218,194.2329,73.3792,41.2278,93.671,51.7858,42.0894,0.0,4225.4022,1.6788,36.7587,120.8981,795.922,0.0
FRA_H52,108.9172,6.7269,1.9165,97.936,0.5418,2374.6696,183.3096,71.2956,556.0215,548.2124,776.4788,264.5172,248.4604,592.8034,610.1139,541.0698,253.0866,193.1727,396.3023,603.2406,438.0386,517.066,300.9487,282.0208,2047.6334,9948.128,7823.1992,3462.4739,873.7523,9874.2508,30.447,1141.1725,797.2791,233.4259,575.6582,202.3403,822.1761,2613.7227,2118.6381,457.9638,219.0125,344.6968,564.4653,149.8119,0.0,8835.0673,2.3364,45.9767,150.4792,73.6178,0.0
FRA_H53,11.5817,0.0,0.1045,0.8716,0.0425,71.9884,10.5442,0.9061,23.62,6.0078,120.7954,17.3803,7.4179,12.3047,9.5507,16.787,13.612,9.4581,19.6365,20.534,20.0561,27.3433,59.1418,24.2307,105.8994,1621.5381,44.3108,38.6949,53.6329,52.6577,895.0238,129.8704,235.6183,745.4495,401.074,834.691,66.1401,1342.7523,649.1712,1844.7544,237.3193,253.643,213.9441,167.4728,0.0,1459.4616,0.0,0.0,0.0,10.0888,0.0
FRA_I,30.96,1.5108,1.667,24.0615,0.2314,397.2126,34.4163,12.2594,57.4153,67.74,192.2915,120.4328,87.3037,101.3857,129.7526,164.2903,72.7117,53.9406,125.7336,111.9996,184.4467,184.0551,133.9383,134.4992,312.2966,7335.0952,747.3967,370.6874,143.1115,321.3296,55.8247,1576.1088,560.8798,325.2256,801.4346,712.91,599.0969,2959.8126,2417.4833,331.2223,646.2502,2382.6849,592.6871,223.1491,0.0,69263.718,31.184,673.2285,0.0,0.0,0.0
FRA_J58T60,142.9394,4.7477,0.0585,6.0585,0.0375,206.0551,15.6875,3.927,24.6077,19.6597,85.5263,42.7587,21.254,20.6603,23.5311,42.9748,57.0052,24.3179,42.2086,32.3174,94.6519,51.8295,148.6498,71.7316,246.243,1996.8914,81.7876,54.4107,65.9698,165.8544,32.7429,134.978,3637.2984,699.0374,1846.8752,3230.1733,484.5725,4655.5118,1781.7294,1121.9343,665.9066,550.053,856.8138,421.1677,0.0,12498.687,0.4907,3785.6778,11857.174,-515.5857,0.0
FRA_J61,32.9899,0.8492,0.4137,3.4826,0.1882,218.3394,42.9343,3.511,59.4181,46.5635,120.5958,80.8807,27.2356,39.1651,29.9643,71.2004,51.6991,55.6311,109.4314,67.9346,99.1489,103.4434,190.4196,62.3943,463.3007,5481.7218,89.1925,64.6845,34.3114,184.0476,390.3373,456.0042,421.7686,8551.8765,1383.8233,5103.3218,526.9528,3711.3857,2385.243,1020.1097,442.127,642.656,514.6493,253.994,0.0,21807.8723,0.0,0.0,0.0,11.7537,0.0
FRA_J62_63,0.1508,7.3207,0.1557,0.3755,0.1599,573.8902,77.9344,13.0893,116.5497,153.8376,261.0666,108.8437,95.8631,64.1898,66.0016,154.9193,318.4855,80.7155,153.6498,69.2414,243.8033,185.3282,401.4602,147.6187,676.9898,3292.7746,207.2978,150.4728,93.9606,225.6609,83.1146,228.4948,683.4103,911.6781,10005.6315,6247.2143,809.1995,3152.056,1872.6157,1216.9895,278.8984,587.6557,265.528,344.7841,0.0,1172.4727,0.0,0.0,49503.3472,51.8949,0.0
FRA_K,2083.1839,122.1218,6.7215,55.6816,1.0957,2963.914,342.0526,50.2597,494.855,319.357,988.3632,352.8664,249.1872,346.9473,365.0733,535.4531,372.3175,265.5339,543.7252,484.6536,516.7115,593.9302,678.8762,1071.5841,4818.9158,16359.3473,2597.6032,818.2323,500.283,3580.7555,266.3398,1928.3853,956.3959,2398.729,896.2,67673.6334,20927.5431,12663.3278,4686.0333,3982.4124,960.0687,2729.6693,803.4192,1506.2989,0.0,56277.9757,0.2602,5.0725,19.7302,33.7079,0.0
FRA_L,18.2712,0.908,0.4033,66.6738,0.2941,693.2922,72.942,28.919,217.1546,98.3717,340.9347,276.7271,109.2575,209.3735,277.9463,191.4746,102.4588,37.8731,198.5878,86.2839,327.5625,196.2285,161.3747,132.9391,663.4526,19271.7003,948.7742,276.4291,224.424,1123.465,258.6573,1892.7917,757.5846,968.7213,2093.0346,7185.7038,9820.8089,9702.2552,6530.1289,1908.8708,668.1252,2731.0516,891.6504,686.9362,0.0,250021.3044,839.19,18300.2648,4710.5377,1.4907,0.0
FRA_M,1665.6066,100.7771,10.4922,115.4667,2.7098,7389.9724,613.9003,133.7486,1329.0326,690.7514,2350.4702,1962.6365,1323.5677,1110.8195,1272.9394,1750.0274,1162.8402,651.1059,1544.7569,1971.2033,2283.4876,2073.4878,1951.5847,1207.7092,13615.657,29465.3382,2111.7485,1512.1031,794.9418,3529.4858,275.3241,3774.4322,3237.2639,2923.4771,5091.9636,10243.3323,6096.76,73686.5839,14723.3552,5024.6334,1912.7713,4747.5828,2053.251,1723.6656,0.0,11003.3078,541.1832,14965.3191,80276.3856,131.9401,0.0
FRA_N,626.706,31.6511,9.6218,96.6073,1.8802,5070.3332,564.0869,103.2977,941.3299,418.1072,1286.8124,741.9135,1227.6296,1247.7039,1288.4607,2020.5227,593.628,762.4064,1290.5377,1305.583,1629.3455,1537.8667,1599.3629,2642.5754,10327.5691,20537.9893,3879.616,1388.8079,913.2608,3387.6603,475.9046,1957.5956,1524.4202,2106.819,2415.1912,11068.2597,4428.668,19500.3469,17883.2854,6714.9152,3347.2853,5312.0506,2108.6202,2509.3082,0.0,6612.9349,0.0,924.2466,10612.4687,131.7107,0.0
FRA_O,184.3426,5.355,0.7087,11.9284,0.1688,519.9571,75.4622,100.7252,238.5988,159.2417,245.7915,104.2334,87.9223,171.2475,817.4991,210.8887,68.8419,58.103,115.6713,156.5657,105.2468,151.0634,310.97,2206.9761,1021.5209,1930.3816,222.0308,73.4833,59.1588,212.5028,42.3618,269.826,243.548,169.0843,295.5798,686.6536,781.671,2249.1871,933.3813,1301.238,258.0701,469.8639,184.4679,120.3234,0.0,6711.6981,10229.2147,200659.8376,1828.7031,31.8908,0.0023
FRA_P,142.1234,7.2643,2.398,20.6872,0.0338,581.2,74.1335,23.8598,102.3038,122.5321,389.7447,200.5713,194.3729,150.0732,111.1395,258.9163,192.2186,149.1032,258.4614,525.6332,324.5831,424.7623,551.8925,137.4822,786.9688,2939.5787,1402.8817,58.4425,742.3494,456.7681,223.6007,290.5315,194.6925,628.2217,862.3071,1015.0833,241.3581,2269.7397,1026.7195,674.9635,1632.8986,2825.638,266.9164,106.7102,0.0,8057.4988,2410.8392,109560.2147,255.3627,3.9367,0.0001
FRA_Q,207.245,0.8021,0.1087,3.0806,0.0428,193.9968,18.3375,6.9438,24.105,26.4015,43.6391,17.4175,26.7221,22.6705,38.0484,47.2089,21.8185,21.5006,39.1242,52.6849,48.9201,56.1874,52.6106,39.6381,303.3039,454.8586,91.8863,30.0134,29.4009,104.2745,12.8384,189.0973,51.6272,65.4694,106.6763,482.8676,97.0816,540.9305,436.9406,348.1879,75.5097,4851.5834,67.6041,56.4138,0.0,55212.5127,20573.0282,184010.3251,425.0807,6.6549,0.0
FRA_R,5.5959,0.1028,0.0439,1.749,0.012,107.8959,10.6922,6.4586,25.0272,22.8793,50.8565,33.9111,22.1759,30.2317,61.5177,44.742,18.4975,14.464,34.3628,32.697,45.4424,48.8174,43.3346,115.4073,104.0847,1682.0232,168.023,80.5102,33.454,80.9122,18.0899,560.6072,436.7312,78.3003,193.3374,49.3046,212.9004,811.4315,648.8897,363.6447,189.3518,211.5648,1439.2335,250.5322,0.0,20179.0813,3875.5439,20033.5864,191.1229,0.8665,0.0
FRA_S,9.9401,95.3265,0.1356,21.2395,0.1291,591.7328,69.961,6.1782,62.0113,172.8855,251.1381,75.1179,62.1181,107.9544,73.9702,85.3489,67.0904,84.7579,211.1849,512.7647,179.8365,407.7823,194.6373,163.2297,611.0723,1971.2382,236.6088,87.781,45.7452,469.2865,24.7505,270.8709,354.467,342.0263,229.9705,883.7117,188.2338,1411.9942,1278.6977,127.3204,69.8193,188.5113,106.2307,1504.8846,0.0,18840.0465,11736.4021,1097.209,2069.29,11.2459,0.0
FRA_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3736.904,0.0,0.0,0.0,0.0,0.0
