V1,MYS_A01_02,MYS_A03,MYS_B05_06,MYS_B07_08,MYS_B09,MYS_C10T12,MYS_C13T15,MYS_C16,MYS_C17_18,MYS_C19,MYS_C20,MYS_C21,MYS_C22,MYS_C23,MYS_C24,MYS_C25,MYS_C26,MYS_C27,MYS_C28,MYS_C29,MYS_C30,MYS_C31T33,MYS_D,MYS_E,MYS_F,MYS_G,MYS_H49,MYS_H50,MYS_H51,MYS_H52,MYS_H53,MYS_I,MYS_J58T60,MYS_J61,MYS_J62_63,MYS_K,MYS_L,MYS_M,MYS_N,MYS_O,MYS_P,MYS_Q,MYS_R,MYS_S,MYS_T,MYS_HFCE,MYS_NPISH,MYS_GGFC,MYS_GFCF,MYS_INVNT,MYS_DPABR
MYS_C27,6.6342,0.182,12.4078,0.6477,3.6776,5.6258,0.824,1.8893,7.1309,1.2167,9.4353,0.3374,10.5936,10.366,194.3915,19.4432,1369.339,254.5425,75.1895,32.8336,14.2587,61.0438,29.1049,0.4185,586.9074,168.5032,39.1295,1.1265,1.4256,40.5871,0.2159,60.9556,0.3304,2.04,2.1963,1.1508,0.8164,1.8866,5.4771,85.7983,12.5181,14.8497,2.1624,1.849,0.0,257.9989,0.0232,0.0,711.8225,-759.4607,0.0
MYS_C28,52.0201,5.7977,92.311,16.371,31.2804,47.5115,10.4286,18.861,30.6577,11.4222,77.4801,4.5655,31.3568,71.7719,185.9798,58.1101,185.5375,25.3067,438.6273,115.9832,116.7376,31.3587,4.7265,43.206,62.9752,170.8352,17.1033,2.8084,2.8503,16.6749,0.4324,44.2173,3.6279,1.0654,0.5175,1.0616,2.3473,1.0175,1.8651,25.2691,4.1664,3.6151,1.4227,14.4063,0.0,227.6273,0.0235,0.0,2409.4618,-818.6386,0.0
MYS_C29,250.3587,13.6523,99.2925,17.4013,3.3024,31.0883,14.7967,88.6939,42.106,7.0823,53.2637,5.4652,30.6651,67.7241,203.3831,54.8241,282.5847,35.3553,105.4676,3036.0124,1056.0481,45.448,7.4326,1.9169,83.7482,458.3745,34.5146,63.852,76.0543,227.5618,3.9617,86.7491,2.1978,9.773,4.7206,103.3665,6.052,25.2833,229.565,998.9619,363.8651,327.5073,78.4587,26.8326,0.0,2344.7055,0.0285,0.0,2201.0491,19.2854,0.0
MYS_C30,11.7298,17.1183,6.4666,3.3207,2.5791,19.5781,2.0947,6.0725,4.429,2.0229,12.4196,0.5079,5.4085,7.3876,13.9599,12.3173,41.1552,5.3269,13.1351,181.7509,367.8935,13.5658,0.3129,0.1634,12.7778,95.4949,20.1804,765.4673,186.9765,17.3953,0.97,5.3465,0.7225,3.7239,0.5079,6.8864,1.6291,3.0054,13.3457,124.3717,16.6416,15.167,4.6713,1.8532,0.0,481.5821,0.0072,0.0,3017.9236,-1.5319,0.0
MYS_C31T33,26.6109,5.8251,39.5159,25.8278,22.7269,232.5222,36.9263,38.8949,37.9455,48.1635,130.1522,4.4342,60.4566,60.1942,72.5208,70.6676,323.6951,43.3516,91.4466,66.3806,21.1078,201.463,8.5732,3.7637,133.0086,534.4336,27.4849,43.0195,57.4918,85.2393,11.6732,22.1902,6.3062,23.766,7.6712,16.5166,12.1573,20.3985,50.3559,134.4572,78.2886,78.3869,184.386,2.8101,0.0,982.6947,0.0501,1.6543,168.3807,-40.0149,0.0
MYS_D,77.316,18.0309,18.9826,23.846,64.7095,1137.3266,136.9828,150.8543,206.0248,64.7123,660.6366,14.9796,270.7183,343.4043,831.9421,278.4946,1200.9065,136.4591,108.6912,131.5434,44.3224,120.0323,221.6124,161.9094,117.2404,1413.7729,20.4434,9.87,7.442,103.1799,13.2077,295.8292,20.4384,188.4498,61.1095,21.648,117.3071,110.8238,48.2206,669.553,652.5668,336.0362,209.4583,17.8744,0.0,2557.7495,0.2063,2.5307,23.3097,0.0003,0.0
MYS_E,40.111,2.4421,7.0502,14.5876,11.8502,95.4291,11.8226,9.7121,14.9043,4.8891,62.8221,1.4376,40.8887,24.9007,29.1461,26.5887,73.128,9.5094,8.6944,9.6691,4.267,18.4517,38.8825,517.6148,27.1171,496.5469,7.1807,4.9955,6.2685,10.8406,4.3214,84.3186,2.3232,13.309,12.6914,121.7692,27.5007,22.3968,18.3231,205.6477,62.009,191.3967,72.897,3.1444,0.0,793.62,1.245,57.3352,87.4076,0.0,0.0
MYS_F,88.502,2.8189,33.498,175.5734,28.4721,2.2771,0.0542,0.0603,0.146,0.0579,1.3065,0.0479,0.3732,4.9625,0.7331,7.2256,188.0676,1.0506,0.5039,1.0462,0.177,0.2988,1082.0982,25.521,1252.0016,1626.2233,5.4276,0.0404,12.4991,27.3881,1.0245,42.4614,36.5679,307.4309,369.4529,372.2806,684.0861,98.9018,234.3193,536.5013,137.6108,55.9324,49.6653,0.0132,0.0,136.6071,0.2706,0.0,30911.6434,0.0495,0.0
MYS_G,1477.8272,191.3578,688.6567,88.0546,94.7068,6871.7009,385.5338,707.5746,709.5287,3599.6109,2290.2236,71.9487,1645.7696,966.7767,946.546,829.903,5820.7778,699.9153,480.8176,1107.6946,511.9758,500.8042,632.9536,98.6391,3128.879,2996.8049,541.2206,274.5499,234.1582,439.8318,40.9768,1583.3637,91.2901,119.5296,141.207,174.2536,300.0361,163.6786,158.8882,551.9946,292.9359,288.0324,153.1786,23.8721,0.0,8812.1484,0.5391,14.8362,3468.3517,193.3135,0.0
MYS_H49,88.3709,10.9911,38.8898,6.3216,56.0594,426.2467,24.918,45.4369,52.551,176.0253,152.5116,5.1382,104.21,66.1845,76.2223,66.7047,511.4248,52.2464,39.0488,100.0501,40.5371,38.4065,34.5553,7.6346,360.6018,197.1339,41.4564,20.3964,55.9314,47.5472,2.7568,91.1278,4.6664,10.7428,10.875,12.869,21.3536,14.3834,18.8692,94.6559,33.3197,23.9591,9.7973,1.4619,0.0,661.7013,0.1633,1.2344,258.3148,0.0814,0.0
MYS_H50,71.8271,8.7271,29.9841,5.564,24.7331,297.4957,18.723,36.3138,41.7631,144.1166,124.0678,4.0345,83.2189,53.6165,60.2914,55.2491,372.2208,42.3599,31.2274,73.5816,28.2278,29.5005,31.525,7.1318,181.3248,162.0965,29.1771,10.9685,11.5982,24.1887,2.2008,65.9657,3.6519,7.5712,8.7845,7.2937,17.9767,12.9289,10.1371,32.8888,18.9278,18.2037,7.925,1.1268,0.0,486.8601,0.0128,21.3988,432.6868,123.6471,0.0
MYS_H51,45.9099,9.1993,111.1341,3.4598,17.0092,205.6266,12.9595,19.643,23.4136,64.0302,83.327,3.3553,48.4461,32.665,48.2384,41.5045,219.6067,32.4577,26.3802,46.935,21.9505,28.2865,16.6313,3.8219,365.5763,70.8954,12.5343,6.4183,95.6798,13.371,1.2994,71.8974,11.5394,141.5332,87.8475,332.9645,8.5744,201.3488,191.868,534.6097,61.2865,68.8308,4.0122,0.5409,0.0,420.1945,0.1147,0.4311,93.9018,108.6096,0.0
MYS_H52,55.4707,8.0167,114.1476,4.6921,152.0066,295.6954,23.4677,30.2726,35.5597,111.3135,103.4325,3.4186,73.2687,47.0352,52.0209,46.3022,315.7161,35.717,27.791,62.3352,24.1793,36.4196,22.35,5.5856,188.9957,140.3421,302.664,261.0397,1647.9937,738.4857,6.6404,54.3547,3.0628,8.0956,7.3414,10.0277,33.5069,10.611,16.2454,515.5893,23.0677,17.3531,6.9368,0.8949,0.0,1843.2265,0.4701,3.8485,195.5838,3.2356,0.0
MYS_H53,2.5573,0.138,0.3868,0.254,2.3395,14.2022,2.3942,1.2387,5.7348,0.2693,5.1585,0.4428,3.3715,1.9027,2.8655,4.9091,16.1934,2.6157,2.01,1.5696,1.0085,2.7289,0.9525,0.3482,4.1222,70.4974,2.389,1.4353,0.6653,3.3248,96.9203,2.8123,3.9647,3.0564,18.5418,52.8754,4.8405,20.9245,9.9712,36.4726,91.687,2.8672,1.6084,0.5223,0.0,208.3191,0.0185,11.2924,128.7656,0.3067,0.0
MYS_I,74.1827,11.4979,30.8244,7.9471,10.2656,120.9762,3.5076,3.3338,11.9069,2.6977,23.815,1.4163,11.434,10.1975,20.0165,22.2959,31.4581,6.5862,9.6894,9.0479,3.2939,10.7324,1.7109,1.4181,15.1826,518.3884,4.4026,64.3996,292.1194,114.0679,0.7084,334.6001,24.8527,103.9907,126.705,503.8929,39.701,125.3108,172.8836,578.8606,195.4768,151.2005,182.8521,2.4383,0.0,9239.805,0.9857,0.0694,0.9844,0.0006,0.0
MYS_J58T60,0.0618,0.1451,0.2863,0.0923,2.0444,0.6153,0.005,0.0053,0.0241,0.005,0.3364,0.0112,0.0732,0.1027,0.0639,0.0571,2.0424,0.2985,0.1171,0.2537,0.0355,0.068,24.453,0.0653,0.0346,1.3212,0.0047,108.6905,0.0377,0.0127,0.0549,134.9229,581.6442,70.6269,0.0384,212.4678,0.4054,74.6623,196.2161,208.9284,67.8609,2.068,10.5645,0.0015,0.0,1029.7358,1.2303,21.7077,212.603,0.2511,0.0
MYS_J61,28.3168,4.0811,35.0426,3.2779,18.2131,123.0805,7.1168,7.0245,22.3601,2.0884,35.6126,1.7549,15.9065,13.7346,15.9943,26.6189,78.9877,13.2639,13.6017,12.9449,4.1878,19.0861,9.9827,5.9194,252.0885,1012.0135,19.9074,7.0282,10.0634,30.0273,12.6157,144.1426,152.8182,4319.1695,150.9245,337.7156,168.0954,114.0323,91.9808,147.8902,54.4947,40.1758,459.8081,356.6615,0.0,9150.91,0.2245,25.4025,289.6605,1.3049,0.0
MYS_J62_63,1.0724,0.2991,4.7113,0.4077,8.3501,8.6275,0.3947,0.4049,3.0435,4.8105,11.3373,0.1894,2.254,4.2613,2.3509,4.4461,20.9443,1.857,3.5698,8.6696,1.2352,1.3295,10.3418,1.2912,46.1326,4.5998,3.1903,3.2337,5.7926,21.8826,10.5497,29.8643,83.1604,1398.0207,1448.3757,30.0118,5.3741,9.7465,3.2949,32.9951,9.8564,8.9747,0.3861,0.0969,0.0,23.2307,0.1515,14.6532,3785.6205,2.8195,0.0
MYS_K,424.784,48.8813,176.957,54.0051,75.6732,620.4963,59.197,73.771,121.9447,92.8362,337.6568,9.9102,142.6118,133.236,212.0793,175.2789,707.7292,99.2797,163.7481,170.6884,70.357,120.3835,90.5975,97.6669,1334.7186,5368.6854,124.4543,61.2317,201.8998,151.0018,41.8719,180.645,62.766,160.6291,160.6754,7430.6534,828.8269,737.2637,222.6491,103.3947,155.0992,315.2789,259.3967,186.046,0.0,9327.4961,2.9849,120.8707,1411.4943,1.2479,0.0
MYS_L,28.6573,5.5984,17.5904,1.9981,12.2324,49.787,7.3875,10.6481,14.3983,11.3695,25.2803,1.8714,19.4361,19.3615,31.685,19.3724,94.6148,10.3789,24.3302,41.8167,15.8462,13.1882,5.4976,1.4151,75.6404,376.5269,13.9137,14.4566,76.0648,24.6999,1.0175,52.4066,4.5688,37.3834,14.2895,106.381,520.8625,40.8586,96.2282,144.7514,45.623,18.8635,13.4423,2.6708,0.0,11528.7695,3.0818,34.7073,149.6177,-4.0811,0.0
MYS_M,32.9995,9.6561,25.7708,11.4552,21.936,149.4844,18.7277,18.3785,23.5814,27.3863,63.7808,2.8865,29.2845,29.302,21.3066,42.822,151.0148,18.5098,30.1374,39.6786,59.3545,24.7376,23.409,11.8401,112.088,180.9311,24.9761,23.0892,37.0065,56.7868,4.4321,48.8108,36.7935,154.8396,65.1462,1158.8419,101.3761,195.743,226.6995,99.2387,73.8395,38.896,159.7625,3.0843,0.0,55.6211,0.128,54.9591,514.687,5.5046,0.0
MYS_N,17.6574,5.352,15.8433,5.7191,50.7365,170.8822,3.3241,6.4903,9.4715,18.0799,55.0141,2.972,14.4291,18.4076,16.6808,24.3335,153.3404,16.3598,14.9362,35.6548,34.4934,11.2871,2.4511,17.4816,84.8676,409.3428,126.7911,102.3153,28.471,104.0847,13.1504,55.7659,26.1894,127.1736,52.6944,217.7954,50.9611,74.7999,589.5051,149.3239,48.1487,35.2045,106.3596,25.9642,0.0,896.1137,0.6521,58.9169,13.8137,1.9696,0.0
MYS_O,0.9268,0.0303,0.983,3.8853,7.4741,2.5196,1.5778,0.242,0.4464,0.1413,1.1772,0.0695,4.6204,1.2634,0.4899,0.6637,2.1753,0.3396,0.3162,0.7291,0.2858,2.0767,0.3873,126.4287,1.3726,69.1555,0.749,0.7292,0.1088,2.0873,0.3862,9.4229,0.2589,2.0531,1.1922,35.7827,1.3831,3.1261,2.32,1573.5215,1485.2041,151.1151,3.5169,0.1799,0.0,81.782,4.1841,20174.0864,573.7649,0.0,0.0
MYS_P,0.1318,0.0301,0.0969,0.0074,1.7639,0.2232,0.0695,0.0533,0.0705,0.0407,0.1153,0.01,0.096,0.0921,0.1605,0.1019,0.4157,0.0479,0.1156,0.2348,0.0739,0.2088,0.4152,0.0091,0.2721,3.223,0.0521,1.8176,0.2478,0.0775,0.0087,0.2824,0.8525,0.1627,0.0719,2.943,2.5917,0.4055,2.0858,398.5795,309.7548,13.696,0.548,0.013,0.0,4037.6756,22.662,11370.1134,16.7221,-0.0366,0.0
MYS_Q,0.0,0.0,0.0,0.0,0.8378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.1518,0.0,0.0,0.0,109.7696,0.0,1604.4177,0.0,0.0,0.0,2778.8737,30.1245,5278.4594,0.0,0.0,0.0
MYS_R,0.0,0.0,0.0,0.0,0.247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.1938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0655,20.231,204.0495,42.3506,0.0,0.0,3795.7902,17.6049,238.6967,0.0,0.3649,0.0
MYS_S,13.3436,4.4998,0.1815,0.0206,3.4257,11.3488,0.4262,0.0703,7.561,0.1306,93.0108,0.2936,19.4643,26.4011,11.1067,28.3832,106.5809,16.9944,17.6118,17.8817,49.2852,15.8497,0.2055,25.8103,20.3507,31.9447,31.1829,0.0562,0.9682,15.4326,1.0847,3.2993,2.049,39.1991,15.8127,15.3015,13.0141,15.8362,2.7762,47.28,21.3914,12.0493,7.9386,54.6623,0.0,908.838,42.9263,13.5409,0.0574,-0.0166,0.0
MYS_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27757.1786,0.0,0.0,0.0,0.0,0.0
