V1,IDN_A01_02,IDN_A03,IDN_B05_06,IDN_B07_08,IDN_B09,IDN_C10T12,IDN_C13T15,IDN_C16,IDN_C17_18,IDN_C19,IDN_C20,IDN_C21,IDN_C22,IDN_C23,IDN_C24,IDN_C25,IDN_C26,IDN_C27,IDN_C28,IDN_C29,IDN_C30,IDN_C31T33,IDN_D,IDN_E,IDN_F,IDN_G,IDN_H49,IDN_H50,IDN_H51,IDN_H52,IDN_H53,IDN_I,IDN_J58T60,IDN_J61,IDN_J62_63,IDN_K,IDN_L,IDN_M,IDN_N,IDN_O,IDN_P,IDN_Q,IDN_R,IDN_S,IDN_T,IDN_HFCE,IDN_NPISH,IDN_GGFC,IDN_GFCF,IDN_INVNT,IDN_DPABR
IDN_H53,0.1937,0.1117,0.0836,0.0912,0.0371,0.4087,26.4401,0.0722,38.8058,0.0404,18.6698,0.0213,9.8984,15.3428,0.0108,0.1227,0.0492,0.0511,0.0856,0.0245,0.2069,5.5004,0.0514,0.3219,32.9343,844.2209,2.4075,0.2729,34.1732,22.2599,0.8356,2.8887,29.3641,0.2768,0.7905,10.3153,0.2638,0.2234,68.6997,46.8272,12.8562,2.8359,0.059,1.777,0.0,1590.4543,0.0352,0.0,0.0,1.5216,0.0
IDN_I,8.0721,17.1338,33.1673,19.9044,15.0559,157.0754,46.6381,26.9028,53.0214,17.4024,65.6595,16.1826,53.9614,73.7103,9.2926,14.026,90.917,35.0595,46.3333,19.1581,62.5258,126.4614,26.3016,11.41,928.4696,2707.8939,380.3062,79.1092,812.4798,70.3938,16.8071,27.3081,118.4217,17.2098,6.6039,322.9007,227.2771,24.7542,820.8839,1894.2707,884.045,275.7087,45.9807,10.1864,0.0,49485.8999,790.9106,0.0,0.0,0.0151,0.0
IDN_J58T60,0.6362,0.0322,0.6953,0.4403,0.0047,783.8041,36.3699,6.0152,37.8184,15.7208,206.068,18.6083,102.9067,37.9602,0.3469,1.1266,24.1637,30.6482,23.8004,51.5383,98.1793,67.1798,41.2095,0.0623,60.558,815.3769,131.0505,35.4729,321.709,114.9544,2.6452,9.0616,1531.9695,106.5188,299.2158,366.7464,1377.8743,190.2783,2368.4554,161.378,151.4223,41.8878,85.4403,9.1256,0.0,2899.825,0.5376,377.439,661.939,0.3251,0.0
IDN_J61,34.9352,4.5107,82.2856,15.4873,20.131,152.1005,46.0791,51.8432,80.4685,15.3624,124.6291,13.4564,65.6612,98.4351,9.5224,17.7305,41.9631,51.0802,183.4792,16.7063,18.5967,131.7028,50.3034,24.308,725.5069,4331.8345,394.9915,318.7314,811.6796,353.8246,154.1006,60.9028,266.2291,1430.5787,881.292,518.402,779.0399,48.1359,849.3596,102.1763,130.3761,57.1774,29.2103,89.5113,0.0,15159.7164,130.4308,0.0,0.0,1.3355,0.0
IDN_J62_63,3.0678,1.1744,57.7829,20.8453,2.9248,10.9009,6.2095,11.311,0.8095,2.2233,11.0013,5.9994,3.806,13.1114,0.9127,5.2495,0.024,0.2437,2.0101,10.1068,2.1631,7.0199,9.79,4.8274,59.9201,1018.9835,86.381,28.1057,84.0695,56.5923,18.0916,6.2781,216.8227,233.8332,733.9908,488.4475,570.6671,91.6364,1066.3272,86.9731,90.2682,46.6604,35.3529,43.9134,0.0,1414.4245,0.6433,0.0,673.742,0.6231,0.0
IDN_K,1087.3092,344.1213,758.2924,222.8568,40.2549,967.6297,289.6902,90.2211,197.7351,304.1161,421.6566,15.8767,187.1032,214.4713,59.3204,95.6606,165.9838,158.6419,256.8215,142.045,224.3283,307.4762,896.374,44.4456,1275.8606,13206.9504,496.0312,117.7314,446.6153,211.1816,78.8743,409.0733,219.163,211.038,107.7863,4003.6159,2300.245,32.7585,2133.0719,241.3988,109.841,335.6274,59.4364,194.8619,0.0,17071.944,374.1164,1410.5759,12.2236,1.2959,0.0
IDN_L,0.8216,1.9756,335.8047,148.9177,24.4066,117.5129,39.3955,17.1414,57.7837,34.8904,111.5761,13.5619,49.8446,117.7999,13.3866,34.2519,10.9856,7.2643,13.2677,8.1219,43.7576,135.9137,0.0674,39.4944,1543.5517,8518.8034,308.0047,51.1315,294.1443,72.39,47.4456,233.1381,136.5434,175.8863,137.7486,680.7802,385.0447,59.9377,926.8544,204.3823,512.8978,220.0143,66.1211,518.1935,0.0,32579.4682,740.693,0.0,0.0,0.0,0.0
IDN_M,6.4449,2.1788,40.2018,40.7315,3.7391,112.022,14.0863,10.6052,12.2746,7.5842,12.1414,2.702,3.4812,69.1657,1.3586,1.7831,39.6218,0.2773,0.0308,12.8318,2.4947,7.3677,0.174,8.256,56.6972,659.6612,75.9857,38.7514,158.4391,47.5675,11.5622,5.0908,149.0362,89.6207,110.7288,335.29,645.1438,34.0375,410.3767,149.8283,17.3771,45.6638,14.6679,1.8932,0.0,245.376,0.6507,192.1239,2119.8551,1.0082,0.0
IDN_N,139.2239,23.6594,1150.817,345.9588,69.2659,222.7781,70.7814,106.4389,95.7888,312.9532,163.7581,59.7071,56.1157,77.4244,27.6245,44.8157,211.7052,173.9949,454.2422,75.9504,243.4538,184.0544,543.4456,146.7111,4388.1446,5566.3634,984.8743,273.8617,958.2322,376.7361,55.1732,108.4431,871.7781,783.615,426.7973,1760.0084,2415.3794,76.7622,2190.5449,1240.7191,1014.5326,892.9227,145.7646,503.1306,0.0,1448.4384,279.506,298.0253,2133.7904,0.6094,0.0
IDN_O,24.19,0.5888,72.549,6.587,1.4378,34.0897,11.7633,5.5892,18.7905,5.2771,43.9832,1.2922,30.4793,8.952,2.5045,3.5818,12.9518,19.0358,7.0381,5.5484,12.3412,13.6019,20.9827,50.9585,50.1738,184.3819,197.5065,21.7204,112.8012,38.0041,9.8996,51.9341,91.5881,178.3041,90.6936,83.0031,580.5658,32.1561,234.3623,54.5008,33.2251,17.5937,1.1978,0.7845,0.0,78.7603,0.0,48710.9343,174.5661,0.017,0.0
IDN_P,0.0,0.0,13.9261,0.7023,1.38,2.5185,1.3774,4.9855,4.1078,2.4532,16.975,1.9828,0.9389,7.6054,1.3872,0.4271,5.5053,15.8345,14.2114,1.6019,1.12,2.6418,2.471,5.7295,23.3221,121.6844,88.6037,13.6272,95.8473,16.8305,3.919,2.2706,3.7033,5.2299,0.3026,190.4718,0.0007,2.5025,305.9521,36.5146,122.7599,36.4635,0.398,0.4759,0.0,14723.1891,635.9242,24573.4134,0.0,0.0137,0.0
IDN_Q,1.0073,0.4546,23.7427,3.6825,1.1126,1.719,7.1615,0.0059,12.6797,1.3605,40.6514,12.0859,2.2609,7.6386,0.2875,0.4215,2.3037,0.0001,0.0275,0.5329,0.6162,0.8255,0.0134,0.9305,0.0146,237.6666,71.712,26.8419,83.1215,66.9442,2.1177,2.7353,3.6505,10.3249,12.4768,78.2779,89.4869,0.2835,123.2314,0.6655,49.7088,38.7086,2.0563,0.3246,0.0,9434.7525,459.2977,8253.1196,0.0,0.0063,0.0
IDN_R,0.0,0.0,0.1068,0.0,0.0,65.4259,0.2518,0.0052,16.0874,0.1918,0.002,5.2159,2.915,0.3108,0.0001,0.0037,5.9472,4.0147,0.0009,4.8356,5.9135,0.0035,0.0346,2.5078,0.0289,77.4776,7.8894,0.1655,4.4076,4.4651,0.0001,0.8055,662.5019,0.0412,11.8544,6.1921,129.0442,21.2435,16.9917,16.5252,14.1862,1.7794,7.2032,2.1815,0.0,3920.8852,146.0332,0.0,65.8004,0.0916,0.0
IDN_S,32.9238,0.6371,15.2801,8.3285,0.3892,1.2689,0.6264,0.1475,6.7215,30.7324,10.604,22.525,16.4368,2.2021,1.8392,0.8946,93.8068,0.0343,0.1219,6.0423,0.8147,1.8106,0.0114,5.9529,71.3036,19.988,20.391,5.9626,19.5078,33.4795,4.2129,0.3857,3.9211,0.0481,0.1573,21.1908,0.6548,0.6736,41.0196,145.1589,77.2851,26.5081,0.4759,7.1049,0.0,2465.1416,3501.4098,0.0,10354.1838,0.0033,0.0
IDN_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3962.1053,0.0,0.0,0.0,0.0,0.0
