V1,GBR_A01_02,GBR_A03,GBR_B05_06,GBR_B07_08,GBR_B09,GBR_C10T12,GBR_C13T15,GBR_C16,GBR_C17_18,GBR_C19,GBR_C20,GBR_C21,GBR_C22,GBR_C23,GBR_C24,GBR_C25,GBR_C26,GBR_C27,GBR_C28,GBR_C29,GBR_C30,GBR_C31T33,GBR_D,GBR_E,GBR_F,GBR_G,GBR_H49,GBR_H50,GBR_H51,GBR_H52,GBR_H53,GBR_I,GBR_J58T60,GBR_J61,GBR_J62_63,GBR_K,GBR_L,GBR_M,GBR_N,GBR_O,GBR_P,GBR_Q,GBR_R,GBR_S,GBR_T,GBR_HFCE,GBR_NPISH,GBR_GGFC,GBR_GFCF,GBR_INVNT,GBR_DPABR
GBR_C20,1222.5089,1.7041,16.1602,95.1188,24.8766,263.6609,225.3398,131.0884,428.0165,111.4337,5201.1222,386.3431,2275.435,254.9996,75.3213,373.6777,192.3756,130.8736,216.0628,943.7549,236.4347,203.1243,200.5808,139.7718,1031.7841,491.0548,48.4143,4.3776,25.9822,23.9499,4.3629,101.3287,185.1808,9.3182,30.1794,129.1697,146.1033,847.8663,276.842,206.6408,228.0378,664.7402,60.0238,177.8223,0.0,8310.0807,6.0042,87.7992,821.0451,418.6249,0.0
GBR_C21,83.0694,1.1116,4.1617,4.4966,2.3438,128.4674,14.3645,7.0511,22.0835,6.9955,193.9259,1412.1679,82.1893,12.8427,9.7211,23.2713,21.4028,10.374,71.4003,49.3479,18.6072,92.9092,44.9167,10.4826,100.176,89.477,17.0941,2.2772,13.0664,11.1871,2.3916,39.8437,25.338,12.1991,29.9399,81.5368,35.43,782.7877,65.0337,145.929,46.0641,5148.9689,17.8307,44.7768,0.0,5664.6964,7.0692,4416.4163,680.9076,375.4526,0.0
GBR_C22,519.8426,5.1786,16.311,21.8816,4.3133,1387.9499,118.3472,32.7745,813.3691,7.0242,608.6599,405.9161,2716.7653,66.9233,36.5308,272.3634,219.4988,269.5495,468.725,1665.9816,417.5381,393.4949,32.2282,221.4139,2450.7352,1615.8547,428.6592,2.8516,11.6199,395.2952,4.9961,61.2855,66.4879,27.8094,61.788,285.6898,55.8187,136.47,513.9917,192.9624,152.3099,439.7825,175.8221,76.6681,0.0,4065.7489,3.0318,12.657,672.6686,314.8878,0.0
GBR_C23,21.7079,0.4959,6.0317,345.3638,2.1513,575.1522,10.2275,39.1147,21.9292,2.5438,123.2901,39.7706,237.2191,904.5459,119.4294,252.2611,47.3533,142.5322,36.4683,501.8007,133.3474,27.3438,15.1,51.8617,8895.5189,434.1911,33.0284,1.3311,9.022,15.2533,1.6206,102.3331,10.5127,4.2953,7.0129,36.0186,262.1134,44.2579,37.7977,172.146,211.1416,89.1144,113.7909,118.0571,0.0,3000.5245,1.5164,5.4491,273.9311,207.107,0.0
GBR_C24,6.741,0.3073,103.5058,6.0072,23.2374,44.5473,7.8972,7.3737,25.4081,2.0471,21.7879,29.3966,57.3389,74.1108,2479.8793,2140.0984,286.1599,473.9335,1680.5566,2692.4645,1675.1838,876.4938,113.1466,150.4139,1448.4122,184.465,13.3447,1.8529,16.4123,7.5684,1.2959,10.6534,9.0714,4.2209,4.4208,34.0215,43.0501,119.2829,46.2795,46.0838,12.7762,27.3498,29.599,7.7452,0.0,508.142,1.1943,1.7996,621.8277,209.0506,0.0
GBR_C25,77.915,9.0653,269.4708,30.1318,114.7178,329.6424,44.7558,73.1629,191.6373,19.209,189.3557,255.5724,346.0727,170.8027,809.9185,3143.6699,481.2104,427.6048,3171.0553,2382.5019,1444.7495,850.6091,382.0565,612.1056,5473.248,671.1827,164.5214,24.9208,410.8999,82.0532,8.1764,83.8867,32.5945,77.8499,41.9003,145.308,170.2352,389.864,580.2975,1447.752,96.0132,235.3995,90.0833,51.2008,0.0,4513.1364,5.2424,7.4974,7075.7855,388.3119,0.0
GBR_C26,42.6926,8.4936,156.4935,34.5865,25.5811,210.2518,27.6482,16.2374,77.4783,19.8884,120.6166,73.3441,85.9059,77.729,49.0042,182.379,1424.6007,178.4529,315.8404,464.1159,269.6461,316.0705,394.8312,79.9665,590.4011,646.0742,228.874,36.9884,577.1108,168.9973,25.5427,134.524,596.754,358.3586,251.5035,155.6863,50.5589,597.9713,346.8134,1838.3783,471.9486,2118.247,153.4203,128.3794,0.0,5846.8509,8.3425,11.6769,5001.4699,228.6629,0.0
GBR_C27,11.2331,1.557,34.0565,9.141,9.0148,61.3954,9.3294,5.5659,17.204,4.2002,25.2344,16.3474,32.169,20.7155,21.2073,143.157,234.1417,679.1785,255.0827,249.2142,946.4397,165.3906,157.7312,33.5285,2031.9882,289.3382,51.3272,6.1907,92.4071,23.894,3.1039,36.2855,47.5908,34.5871,39.2445,78.0773,28.0121,222.3517,149.0803,239.1851,56.685,127.5334,43.0956,16.2691,0.0,5002.4378,2.3214,7.6737,2131.5928,175.3836,0.0
GBR_C28,72.6206,13.0488,820.0302,101.4114,214.3754,539.7762,129.635,48.534,170.41,39.366,186.8899,277.9456,213.3706,181.2108,194.9328,544.8535,199.1721,527.6499,1691.6228,1474.6788,515.2748,717.5274,848.1948,236.8752,1691.6097,1557.2789,383.1075,57.857,944.948,199.7174,21.6093,197.2586,83.8913,206.3656,146.9103,207.8384,55.2499,559.5286,777.9772,286.4837,102.9055,425.5827,200.5143,68.7518,0.0,3101.4367,8.3841,16.166,8022.6782,294.0416,0.0
GBR_C29,48.8509,0.5184,30.0388,10.1101,20.3987,42.502,6.1536,6.9361,14.7816,2.9505,15.3269,16.6091,26.9273,24.5224,20.2894,85.0665,34.779,37.9335,432.4672,4724.1388,65.9184,117.4064,37.5044,60.5461,410.8611,3875.5227,522.2411,5.7895,26.34,190.196,33.8953,17.1016,23.0356,46.5811,66.7857,262.4417,51.8292,828.2026,541.3663,241.111,120.8033,259.869,59.3572,23.304,0.0,20863.3176,22.1817,0.392,10954.2206,589.771,0.0
GBR_C30,16.4189,5.4712,258.1939,19.9775,25.1759,114.0746,12.7778,10.5959,28.8634,10.5185,56.5011,27.5839,58.0593,43.6677,70.5047,126.2452,195.9854,35.0071,113.3271,169.4865,3669.8887,1917.9503,205.78,35.1692,234.0651,262.3709,223.9257,205.0903,710.8338,60.6356,6.4304,62.5782,16.017,61.0645,32.9951,88.251,93.7458,489.9088,125.2566,2252.5968,29.3297,285.7373,77.4361,32.9768,0.0,4344.1566,13.3024,2.5671,9451.8801,50.2844,0.0
GBR_C31T33,106.1197,35.1966,597.9034,145.6626,103.4748,802.2081,106.6343,108.4574,205.6572,78.2867,364.7589,219.247,327.6816,310.9436,178.6524,505.2837,171.7875,151.1759,319.7962,536.6399,784.9811,1461.7222,1554.065,185.6463,846.6887,1838.8408,953.2509,191.0449,2579.7338,466.6711,74.6901,477.7172,215.4347,470.1379,217.9169,400.8606,78.1956,626.147,812.3275,527.5038,381.283,2030.9275,540.4298,139.7704,0.0,13727.2442,6.0161,95.4692,3620.8041,75.3974,0.0
GBR_D,382.5783,16.9415,102.2207,197.7241,43.6405,1804.6912,209.8116,219.154,878.5443,268.225,1741.5186,238.7992,855.1116,676.0435,549.046,941.0972,240.5498,175.6242,427.3288,607.7142,277.8015,451.2166,76171.2818,1164.6373,1901.5029,6054.0561,716.4055,31.7229,72.5039,534.7251,116.4404,2787.0588,262.3069,764.9108,735.571,1997.8718,2526.6008,1581.2319,1260.3157,1610.4058,1627.0952,3361.4214,1114.7892,596.6715,0.0,34552.1124,4.0548,0.8189,1006.788,-8.0047,0.0
GBR_E,358.6533,19.5639,44.8116,52.6035,21.5113,962.5992,80.797,85.9218,327.6866,100.2636,468.5235,125.9238,158.1097,133.6773,598.7782,342.6627,57.8732,64.2951,202.3444,269.272,187.655,295.124,975.1213,11581.9075,1663.0144,2886.2048,381.1119,39.5198,21.872,294.0223,65.6677,1336.1363,86.4809,44.3814,121.4745,854.7807,588.9891,622.2554,519.7302,4127.3755,753.6647,2752.8073,616.7987,296.1076,0.0,13067.2689,6.5802,7902.1698,1138.9657,-1315.0369,0.0
GBR_F,428.4928,2.6148,206.4524,6.3537,421.1751,147.2177,13.6544,11.5208,38.8146,230.054,101.9739,15.5399,365.4177,152.7919,10.1514,470.6138,13.892,10.8755,46.8622,322.418,527.4364,613.215,3988.6167,1118.7889,123759.6223,5728.8444,100.3637,38.1588,59.2915,645.7361,43.4788,414.8957,87.2179,115.5611,163.5025,5700.6902,25317.0246,3430.3577,1210.2348,7112.9176,1134.4537,1817.8441,396.7091,106.5913,0.0,7124.476,32.1575,7.5631,187960.9849,479.8687,0.0
GBR_G,3080.6584,266.9474,500.8653,458.1398,180.543,15001.2526,1625.1449,625.0485,2597.4747,475.5761,3366.5931,1665.4049,2116.7609,1254.9334,1486.4415,2448.3082,1636.9246,1438.2779,3265.7534,7338.6601,2615.9308,2270.1421,4399.6034,1069.0157,12616.5838,18460.0456,5307.2077,442.0486,856.6125,2196.3355,711.6541,9676.361,4077.97,703.0205,1490.636,5209.3728,1204.0603,3537.1323,4253.4647,5748.4718,4075.8924,11701.0466,1709.8379,1358.2415,0.0,170896.3975,96.0016,3399.7985,22406.7627,3565.7858,0.0
GBR_H49,504.0489,13.0706,94.3035,529.4256,32.72,3052.5765,207.1583,271.2809,748.4567,181.602,753.301,170.3364,579.8549,1118.8691,540.6898,594.7367,214.1974,269.9905,628.0019,1040.3838,383.9938,520.8038,324.5419,448.3758,1982.0983,11898.4263,6855.0962,199.1526,228.387,916.4141,524.0966,584.5444,359.1482,85.0625,200.1981,1322.7175,207.3545,837.6624,1487.7072,1464.9446,1334.1964,2992.5925,276.3017,185.9636,0.0,25933.0408,2.2502,174.594,1139.4157,720.0417,0.0
GBR_H50,20.0668,23.6175,142.2977,12.6093,12.3004,90.3581,6.5862,5.5869,22.4409,103.1532,28.039,11.4892,22.1559,22.4846,39.7247,34.5126,29.0994,15.1452,25.7603,97.9201,38.8781,32.1919,36.2065,5.5161,112.5068,77.0802,18.889,1431.5131,14.5771,850.0301,2.8752,46.5926,18.987,12.1385,10.1093,115.4799,27.041,45.6984,435.2799,61.9678,21.5944,80.1743,30.7976,9.743,0.0,4526.0783,0.4737,16.2833,186.3947,509.7266,0.0
GBR_H51,61.039,3.7004,73.5054,10.4594,6.1294,227.1784,22.091,17.1938,46.4516,95.3131,66.5832,34.3113,51.1937,24.6911,72.8313,62.3055,52.5807,36.5838,80.1104,193.2183,112.9614,79.1521,106.7359,19.7723,309.3911,250.2198,54.6262,79.1563,1307.5932,467.0012,125.913,196.5521,73.155,29.0862,44.3654,824.3423,29.2765,580.8787,1879.1796,216.8809,60.0572,216.229,58.7796,91.6569,0.0,6344.6832,2.3667,46.5107,530.7107,1528.0857,0.0
