V1,MAR_A01_02,MAR_A03,MAR_B05_06,MAR_B07_08,MAR_B09,MAR_C10T12,MAR_C13T15,MAR_C16,MAR_C17_18,MAR_C19,MAR_C20,MAR_C21,MAR_C22,MAR_C23,MAR_C24,MAR_C25,MAR_C26,MAR_C27,MAR_C28,MAR_C29,MAR_C30,MAR_C31T33,MAR_D,MAR_E,MAR_F,MAR_G,MAR_H49,MAR_H50,MAR_H51,MAR_H52,MAR_H53,MAR_I,MAR_J58T60,MAR_J61,MAR_J62_63,MAR_K,MAR_L,MAR_M,MAR_N,MAR_O,MAR_P,MAR_Q,MAR_R,MAR_S,MAR_T,MAR_HFCE,MAR_NPISH,MAR_GGFC,MAR_GFCF,MAR_INVNT,MAR_DPABR
MAR_C20,253.2464,0.2723,0.0241,8.692,0.1302,76.2956,75.8843,3.8343,48.3086,0.0881,360.8953,33.4787,247.666,92.4922,7.3501,25.2257,2.6269,61.2374,6.9923,27.9228,3.3767,37.2458,6.512,4.0725,159.2949,81.6567,1.3668,0.267,0.6997,0.7873,0.2731,7.9145,13.9343,1.6812,2.1303,0.0,3.981,8.0723,24.408,12.6403,7.8364,19.5768,3.6037,27.9321,0.0,337.6988,0.0,17.1312,0.0,262.3151,0.0
MAR_C21,39.1572,0.1718,0.0033,0.8839,0.0013,22.833,6.3128,0.5005,2.9755,0.0194,26.5306,110.303,14.8255,7.8727,0.2795,3.1588,0.3589,5.2209,1.0487,2.5096,0.0341,3.7518,0.8964,0.4568,13.0215,18.3756,0.2513,0.1339,0.2115,0.1802,0.1106,1.6716,1.5805,0.64,0.6972,0.0,0.5243,3.3735,2.2084,11.6527,8.228,38.4639,1.5526,5.5251,0.0,542.6481,0.0,69.2569,0.0,59.794,0.0
MAR_C22,21.51,4.6671,0.0098,24.6588,0.0435,120.7674,85.2854,1.6035,6.1539,0.2141,21.0792,5.3402,26.2645,6.0304,0.3256,4.2798,0.2609,71.6472,12.7786,83.757,0.4206,18.2461,0.6641,0.316,115.2303,207.3221,16.0608,1.0701,2.6885,3.7348,0.2361,3.9285,1.9718,1.5742,0.4643,0.3109,0.6272,1.3212,2.7908,16.8408,0.5392,0.8903,1.0004,3.1738,0.0,165.9646,0.0,0.0,66.6978,123.7917,0.0
MAR_C23,0.2351,0.0358,0.0068,3.1872,0.0446,19.3248,5.1908,1.7625,9.8139,0.0085,56.3254,3.8818,1.7731,239.7637,1.7542,26.4835,0.7295,7.4257,0.2949,57.3694,0.7684,2.3067,0.3527,0.0865,2745.086,21.6843,0.794,0.1641,0.4637,0.5201,0.0615,1.7567,2.1005,0.3468,0.3576,0.7396,0.4246,0.8165,1.4868,4.9935,0.7216,0.773,0.2942,1.1341,0.0,135.1059,0.0,0.0,16.1597,199.6909,0.0
MAR_C24,0.0,0.4633,0.006,1.2164,0.0643,0.9739,1.5719,1.114,1.4928,0.0058,0.531,0.0458,4.4041,151.2717,486.4224,218.3913,4.6769,215.7868,16.8031,27.1135,16.5209,26.4618,0.3315,0.339,500.2307,12.1266,0.077,0.0242,0.0338,0.0376,0.0,0.0,0.3428,0.0,0.2069,0.0,0.4374,0.907,0.3795,0.0,0.1856,0.218,0.1405,0.8832,0.0,0.0,0.0,0.0,0.0345,134.6999,0.0
MAR_C25,1.015,0.2711,0.0118,10.592,0.1025,79.3675,11.7703,10.9086,5.0895,0.045,15.1414,2.5059,2.5547,44.3657,14.4152,100.2816,2.8649,16.7376,9.0578,45.0299,13.259,23.3895,2.8731,0.8562,484.8059,37.2605,2.078,0.3652,0.5932,1.1427,0.068,5.1267,2.6182,0.7207,0.8101,0.2653,1.0164,1.642,3.2652,2.4349,0.4466,0.5763,1.0142,4.0131,0.0,110.0884,0.0,0.0,704.003,130.4816,0.0
MAR_C26,0.816,0.1774,0.0004,0.9169,0.0048,4.4697,1.3924,0.0393,0.1526,0.0079,0.9972,0.2572,1.1814,0.486,0.0267,0.793,30.0537,3.0202,0.8535,3.8544,0.3789,1.4925,1.3638,0.453,7.0278,9.464,0.7271,0.0697,0.2124,0.2445,0.3069,0.1079,0.5385,16.89,1.2422,0.0,0.1219,0.8231,1.2196,6.618,3.045,6.1217,0.1773,1.129,0.0,80.1312,0.0,0.0,71.2317,19.0402,0.0
MAR_C27,0.0252,0.0268,0.0007,0.2348,0.0046,0.8757,0.3787,0.0656,0.0991,0.0085,9.9812,0.9985,0.972,3.3196,0.6996,2.3129,14.2262,148.3346,0.5567,39.4226,0.9845,1.893,6.9278,1.2943,79.4342,20.3415,1.6249,0.2585,0.49,0.7457,0.0842,0.0949,0.2847,3.8395,0.4718,0.0004,0.253,0.6149,1.1609,0.2382,0.1987,0.3415,0.0983,0.5549,0.0,31.729,0.0,0.0,48.4199,46.6169,0.0
MAR_C28,3.8022,0.115,0.0383,8.3512,0.0486,3.4309,2.4314,0.4087,0.1156,0.0536,1.8561,0.4175,0.1465,5.0864,2.2576,1.7073,0.4316,2.1658,5.6674,23.2306,2.5846,3.8508,6.4983,2.161,22.6553,16.9253,1.0569,0.1594,0.4025,0.4014,0.0582,0.1642,0.9437,0.26,0.841,0.0168,0.7115,1.8485,4.0728,0.4022,1.2444,1.8395,0.8022,3.5462,0.0,24.258,0.0,0.0,270.589,34.0525,0.0
MAR_C29,0.7485,0.6894,0.0081,2.1428,0.0305,5.8113,2.3804,2.0781,0.2397,0.0123,2.1428,0.2955,0.2202,4.6731,1.3085,17.7184,0.7371,6.8975,2.3673,1421.4428,4.2409,12.4119,2.4119,0.8058,30.1487,176.3144,60.995,1.6241,8.7406,9.8235,5.2153,0.5351,0.3464,19.5801,0.9651,0.0095,0.9049,1.8746,6.3973,9.2243,1.0366,1.6588,0.2789,1.0372,0.0,619.7288,0.0,0.0,973.3662,427.9754,0.0
MAR_C30,0.0,0.9348,0.0,0.0,0.0007,0.3182,0.0,0.0264,0.0,0.0,0.0,0.0,0.0,0.0278,0.0,0.0,0.0,0.0,0.0,0.0,15.0648,2.4538,0.0,0.0,0.1097,8.225,2.2447,0.5777,5.4079,0.4575,0.0,0.0,0.0,0.0,0.0033,0.0,0.0021,0.0084,0.0115,15.3512,0.0582,0.0561,0.0,0.0,0.0,25.3946,0.0,0.0,248.7949,5.7817,0.0
MAR_C31T33,143.1625,21.2516,1.5477,43.1743,0.2195,70.7312,22.5215,9.3852,9.3624,0.2287,31.2533,4.2036,4.633,36.8735,18.1059,13.6417,2.9399,26.2908,3.0174,16.6442,6.5373,37.2907,23.9615,6.9995,109.7322,42.0508,36.4444,9.3286,48.8676,8.8614,1.4079,13.0957,2.9327,18.5499,5.8274,6.4824,2.6241,22.671,50.1177,28.6287,13.2082,11.9437,3.7961,7.4283,0.0,342.8742,0.0,0.0,153.6563,116.727,0.0
MAR_D,151.1067,4.9412,0.1982,56.8363,0.3205,141.1338,45.6718,7.3832,14.134,0.5139,78.3856,9.3147,32.8009,212.3606,46.6546,14.6951,9.9386,34.5703,2.418,87.8635,2.7419,13.0921,97.5578,11.1337,126.3533,190.0081,41.8096,2.9726,10.8645,26.247,3.2142,80.4801,11.8744,83.4066,3.63,45.3309,6.0731,5.3998,10.5327,204.9053,46.8492,66.9621,12.6662,25.9249,0.0,1558.2398,0.0,0.0,0.0,1.7219,0.0
MAR_E,35.5206,1.4977,0.0533,13.5539,0.0142,30.266,8.6517,1.2046,2.3878,0.1033,16.9777,2.8039,5.1275,35.5545,11.0629,2.7158,1.851,5.5477,0.4147,14.8857,0.6408,1.0801,15.1846,12.3718,40.2079,44.4611,7.9256,1.8478,3.2469,6.1001,1.6775,18.8861,1.7837,16.8459,0.7181,10.5427,1.6893,1.1049,2.7408,54.6865,11.5236,15.5511,3.1151,7.5411,0.0,291.5378,0.0,0.0,0.0,0.3928,0.0
MAR_F,74.2231,2.4558,0.3393,30.7973,0.2989,32.3009,6.8429,2.3988,1.1554,0.1498,10.7804,2.4988,0.4064,21.6208,1.8856,1.5049,1.7762,8.3744,0.8487,65.0528,5.3817,12.4654,51.3588,10.1989,49.6789,125.8699,12.9373,1.5155,4.2945,9.6124,0.9965,6.0351,2.9227,12.6477,8.6452,86.4289,19.7209,10.4535,14.5638,156.0844,33.4814,34.4169,3.382,8.0047,0.0,729.1905,0.0,0.0,15876.4757,23.7634,0.0
MAR_G,575.2194,52.1448,0.2191,55.5386,1.1014,1312.1631,161.2754,34.6509,50.1615,0.7639,154.3714,39.9367,57.415,124.5177,63.6784,71.1006,22.6715,82.167,18.3526,201.2784,15.9098,62.5682,33.3687,7.9538,685.4736,293.3327,290.1124,27.1402,104.2811,51.229,3.2536,111.8831,15.5591,29.6683,14.6201,7.2603,12.3992,25.4302,65.3318,1534.9601,54.2759,98.5263,8.1714,28.5612,0.0,3685.0026,0.221,25.6178,942.3101,778.8654,0.0
MAR_H49,161.7041,9.209,0.7558,179.9368,0.4443,200.8653,25.1715,11.1898,18.9045,0.537,76.5726,8.7531,10.2793,65.456,16.2729,17.4951,7.2523,39.3049,2.7295,19.3042,2.6167,14.8403,9.9065,2.201,123.6567,205.0388,68.8068,7.2781,18.6937,19.8248,1.4237,11.7965,16.0325,6.011,1.3897,38.3412,0.9207,2.6623,6.7224,87.562,45.1138,41.2097,11.9492,43.9373,0.0,1105.1127,0.0087,1.9842,46.7543,68.8941,0.0
MAR_H50,0.0165,0.0014,0.0019,0.0024,0.0013,0.5643,0.8815,0.0024,0.0695,0.0083,0.19,0.0386,0.0964,0.0634,0.4425,0.1294,0.0151,0.0505,0.0409,1.4524,0.0392,0.0776,0.4533,0.0556,2.4112,0.0109,0.0006,0.0009,0.0425,0.0009,0.0022,0.1255,0.0174,0.0367,0.0075,0.0027,0.007,0.0188,0.0409,0.0015,0.0013,0.003,0.0022,0.0036,0.0,0.0012,0.0006,0.8606,9.8202,154.5883,0.0
MAR_H51,17.3541,2.6953,0.0161,4.2064,0.018,37.5765,23.526,1.7374,4.5216,0.5307,14.9549,2.3674,4.3263,12.1661,10.1863,6.9403,2.3442,9.4189,1.624,28.0742,1.6802,4.124,10.9595,1.9743,50.1581,16.7917,11.2626,1.9226,5.4474,0.8647,0.2643,3.6557,0.8679,2.291,0.4087,0.2751,0.3657,0.8729,2.0354,4.746,0.6137,1.5156,0.133,0.9606,0.0,38.462,0.0046,1.0847,76.6221,231.0253,0.0
MAR_H52,26.1859,2.272,0.1581,25.9648,0.0637,34.4077,4.1129,1.8949,3.241,0.0894,13.971,1.8184,1.7885,11.68,2.7701,3.1341,1.5428,7.812,0.4876,3.0938,0.4483,2.522,1.4763,0.3444,21.4331,55.1609,24.3903,10.281,26.3963,20.5688,0.3349,2.0401,3.1061,1.3751,0.2694,5.1798,0.1609,0.441,1.2318,13.3608,2.9109,4.2891,1.7778,7.0522,0.0,273.8775,0.0015,0.3526,7.0699,14.125,0.0
MAR_H53,0.309,0.0697,0.0004,0.0905,0.002,0.6299,0.1658,0.0403,0.0975,0.0027,0.3806,0.1304,0.0432,0.2412,0.0322,0.1622,0.0278,0.3079,0.0316,0.3317,0.0813,0.137,0.4539,0.1419,1.0163,5.7599,0.5309,0.0891,0.2671,0.4529,0.5973,0.2558,0.1691,1.714,0.2295,3.2053,0.1079,0.3598,0.679,8.1635,1.0164,1.3488,0.0965,0.348,0.0,46.4658,0.0,0.0,0.0,0.5955,0.0
MAR_I,0.7013,3.7254,0.0102,2.7922,0.0564,3.9315,2.3321,0.4185,0.7585,0.0109,6.089,2.2239,0.7742,3.6576,0.9301,3.7499,0.595,5.4159,0.75,6.9284,6.5758,1.8233,0.8954,0.2929,1.4862,9.4584,2.9661,0.3903,4.9259,1.1158,3.401,15.5122,7.6026,39.5802,5.1094,84.8992,2.9924,9.8146,29.6429,220.9378,18.2106,22.285,4.169,18.0994,0.0,1843.8666,0.0,0.0,0.0,0.0011,0.0
MAR_J58T60,0.2364,0.2595,0.0127,4.8527,0.0053,21.2424,6.6991,0.5036,1.3536,0.0349,6.8944,2.2816,3.3405,18.4362,2.3555,1.7298,0.7746,6.9603,0.3966,2.8084,1.2124,1.1339,11.8715,2.9905,7.975,17.0748,0.5134,0.1006,0.5166,0.3853,0.1245,4.8506,18.6626,2.8962,2.1896,6.3393,0.5887,8.8562,3.0525,12.0139,9.9792,5.3153,4.0314,6.6292,0.0,310.0611,5.3377,0.0,1.2795,0.3996,0.0
MAR_J61,7.8402,1.7966,0.0133,2.2795,0.0645,12.9675,3.3661,0.9382,1.8416,0.0442,7.329,2.1884,0.8771,5.5393,0.6297,3.5995,0.5669,6.3055,0.6579,6.2384,2.0777,3.3531,8.9858,2.2516,29.5545,97.0632,16.1055,2.2794,7.8431,9.2023,0.4487,8.2146,5.1851,45.8416,7.8363,60.3981,2.8489,8.406,13.2364,137.4926,21.3198,34.0833,2.0208,6.348,0.0,2326.6031,0.0,0.0,0.0,1.4808,0.0
MAR_J62_63,0.0021,0.0005,0.0001,0.0487,0.0003,0.1407,0.0507,0.003,0.0227,0.0006,0.0532,0.0167,0.0044,0.0628,0.0131,0.0199,0.0162,0.0956,0.0028,0.111,0.0291,0.0251,0.072,0.0144,0.1587,0.4133,0.2211,0.0431,0.2718,0.1574,0.0148,0.1137,0.083,0.3521,0.2655,0.7674,0.0222,0.075,0.118,0.5398,0.1352,0.1918,0.0263,0.0649,0.0,2.9852,0.0,0.0,2.6176,1.3091,0.0
MAR_K,77.299,78.6543,0.2606,44.2694,0.4866,185.8748,67.855,12.4618,28.0749,0.7842,46.5425,10.3495,26.9703,55.1652,63.1572,51.143,8.8118,64.8879,4.33,173.1831,14.3053,38.8829,277.5233,57.0147,1093.9092,665.8992,87.211,18.1484,49.024,37.5965,10.0851,149.3106,15.3549,144.9097,191.2862,1307.5929,429.2621,269.5325,526.7625,312.6896,14.7189,25.5611,5.8439,20.1271,0.0,859.7654,0.0001,28.8879,2.3205,0.251,0.0
MAR_L,0.571,0.1199,0.007,6.2733,0.0552,35.7973,8.257,0.9162,4.7178,0.0397,8.0729,2.4047,1.1594,12.2408,2.1812,4.8363,1.7256,13.3076,0.4883,16.1535,3.6769,7.6194,8.8038,1.7335,38.0557,160.0685,42.6938,5.3906,19.669,39.125,2.1646,37.2803,11.9126,41.0052,7.6718,79.6976,20.3458,15.664,28.2625,70.7873,27.3956,44.0574,8.3623,24.2982,0.0,2973.804,0.0,0.0,200.1394,0.0789,0.0
MAR_M,1.5922,0.2979,0.0395,19.6204,0.6358,108.6703,14.1543,1.7384,11.0196,0.2111,37.862,17.4809,2.5919,29.3066,6.2587,9.08,4.958,47.4422,1.475,58.06,10.457,17.2024,28.0734,5.0741,126.5467,218.1549,74.7426,16.6605,52.8079,49.8156,2.6671,37.6903,28.0392,69.616,27.2075,188.5931,19.4991,93.3449,78.6905,136.9592,36.6837,53.4803,13.5408,33.6064,0.0,354.3911,0.0,0.0,741.6254,2.7934,0.0
MAR_N,2.0707,0.3988,0.0322,25.6407,0.883,99.8556,15.7313,2.5816,14.0679,0.14,36.5531,13.1956,3.1953,42.133,10.174,12.8597,5.5018,44.451,1.6049,59.7044,8.5942,27.9941,46.402,10.2186,122.1244,254.8051,180.8006,43.4512,149.9122,130.6258,8.9145,67.3617,34.3132,121.1602,41.5109,248.5339,48.4736,68.5221,295.7298,264.6694,88.0898,159.6154,29.7916,53.9072,0.0,1089.3642,0.0,0.0,544.0177,3.1447,0.0
MAR_O,6.8577,0.3445,0.0313,2.8399,0.069,2.8566,1.6681,0.4335,0.1399,0.0138,1.0184,0.2519,0.0414,1.9073,0.1686,0.2524,0.1502,0.5876,0.1137,5.9944,0.669,4.5151,4.7898,0.9512,1.8958,12.7397,1.2231,0.1449,0.4124,0.9081,0.236,1.4817,0.5067,2.0929,0.868,8.0362,1.9449,1.1891,1.8292,14.5076,3.1229,3.2744,0.6848,1.4027,0.0,704.9,0.0,12311.3992,1494.7093,22.7165,0.0
MAR_P,70.6521,0.0,0.0,0.0,0.0179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8671,0.0,0.0,36.5014,0.0,0.0,0.0,111.4325,72.9658,34.1271,4.3564,15.6254,0.0,2071.1343,88.222,4539.0449,0.0,0.0006,0.0
MAR_Q,47.8597,0.0,0.0,0.0,0.0138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2635,0.0,0.0,17.7075,0.0,0.0,0.0,69.0576,7.7366,71.8637,3.1247,9.9182,0.0,1541.0263,83.7788,3305.266,0.0,0.0003,0.0
MAR_R,0.0,0.1134,0.016,3.5064,0.0007,5.638,2.5077,0.2742,0.7466,0.0096,1.0492,0.3967,1.6642,6.4667,1.3598,0.874,0.4581,2.5993,0.1226,1.0319,0.8711,0.2537,4.7128,1.1257,3.2555,5.0252,0.14,0.0819,0.1116,0.1065,0.0356,2.6992,2.9531,0.379,0.695,0.0686,0.3617,2.3327,4.168,4.0526,3.3683,2.5103,8.8303,2.6385,0.0,315.1097,12.4068,0.0,0.4339,0.0058,0.0
MAR_S,0.0,0.9683,0.0693,12.351,0.0398,21.5442,10.2961,1.4479,3.2345,0.1073,6.1463,1.8172,7.4328,42.115,4.3461,4.4229,1.6149,13.7592,0.6393,4.3756,1.6296,1.7376,30.4486,10.3178,15.2435,22.9923,0.6529,0.1403,0.5319,0.3893,0.1293,7.8629,4.9437,1.3172,4.0763,0.2904,2.6193,7.7372,12.8004,12.7945,6.4537,14.4562,4.6421,27.4257,0.0,1126.0915,106.3413,0.0,2.0167,0.0002,0.0
MAR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.2808,0.0,0.0,0.0,0.0,0.0
