V1,ITA_A01_02,ITA_A03,ITA_B05_06,ITA_B07_08,ITA_B09,ITA_C10T12,ITA_C13T15,ITA_C16,ITA_C17_18,ITA_C19,ITA_C20,ITA_C21,ITA_C22,ITA_C23,ITA_C24,ITA_C25,ITA_C26,ITA_C27,ITA_C28,ITA_C29,ITA_C30,ITA_C31T33,ITA_D,ITA_E,ITA_F,ITA_G,ITA_H49,ITA_H50,ITA_H51,ITA_H52,ITA_H53,ITA_I,ITA_J58T60,ITA_J61,ITA_J62_63,ITA_K,ITA_L,ITA_M,ITA_N,ITA_O,ITA_P,ITA_Q,ITA_R,ITA_S,ITA_T,ITA_HFCE,ITA_NPISH,ITA_GGFC,ITA_GFCF,ITA_INVNT,ITA_DPABR
ITA_G,4012.9951,123.206,406.5347,13.62,10.8898,22218.6714,10309.0328,1237.9282,2502.9283,2932.2661,4699.016,2353.7033,3206.9416,1797.8736,2051.0644,3885.8637,1524.9848,2367.2798,6981.928,4571.8736,1478.7061,5477.3055,3070.5376,1013.846,6356.3453,20008.1246,3889.3764,1101.2848,1477.224,2277.7961,132.4547,7664.1818,1623.6255,1483.9923,1701.5864,4273.2836,1289.0325,4525.7864,4910.8803,1459.1177,546.3791,5740.4436,1665.6689,986.4031,0.0,109601.174,18.4789,3771.3686,14275.2908,1807.5442,0.0
ITA_H49,989.8523,25.0042,259.101,7.9214,5.0114,5961.4703,1316.8596,430.446,901.2184,1175.1864,1337.0118,337.6436,925.6631,919.8222,857.7861,1040.818,314.4539,701.6006,1712.1558,1172.9943,341.5056,1105.2666,2799.4827,605.5482,1524.3479,9464.9306,8234.7598,326.2921,175.3336,6431.8605,887.3626,1271.4092,243.7627,103.4676,189.47,363.0235,170.3621,945.8508,997.4829,511.3022,172.4788,986.8766,270.7768,273.1708,0.0,21219.6333,3.9823,935.6851,2508.8006,923.4652,0.0
ITA_H50,53.051,2.3993,25.1425,0.7143,0.4198,352.2866,114.4738,27.2039,68.075,164.3888,117.5483,32.3671,74.9193,60.2451,125.2092,91.7891,30.9595,63.5687,143.0725,131.4359,31.2465,84.4969,122.1687,85.1858,149.4689,824.7294,578.1398,38.1194,27.1763,753.2649,17.5865,102.063,19.505,16.4707,51.5481,37.9442,22.1772,78.396,75.7405,83.4155,11.7975,81.7746,22.365,25.8997,0.0,2704.7733,0.508,320.5777,299.9674,799.2996,0.0
ITA_H51,36.2181,0.7883,26.4215,0.6933,0.5432,239.7059,105.8541,19.7864,57.4242,155.6575,101.1695,32.2339,67.7252,46.2304,81.073,82.2398,30.1673,62.2029,132.2138,109.6362,30.7341,82.4311,108.0625,58.5005,267.3558,730.5406,443.918,54.7708,72.2831,550.565,12.8738,110.1186,84.2723,64.3511,60.3033,19.0987,28.5725,127.4545,120.1642,23.871,16.8386,129.7206,49.9671,25.8655,0.0,804.6772,0.2211,261.0062,222.0749,884.5304,0.0
ITA_H52,154.1264,3.7501,318.3522,4.0825,2.8722,2676.7862,586.7253,166.8993,564.0716,282.7874,695.7265,78.3899,483.092,589.6813,355.9509,370.096,129.2162,371.265,856.7103,869.6979,104.6851,431.9946,1029.7,453.9812,1387.6831,10347.6317,9149.9128,490.1476,333.9174,11746.0915,273.689,382.1277,160.6524,112.6393,121.9915,192.0335,95.7991,583.6493,713.5991,290.9199,69.0402,234.3647,127.7439,194.4561,0.0,9946.1043,3.3806,5548.0048,1218.7992,193.2429,0.0
ITA_H53,11.5015,0.2199,20.0978,0.2501,0.283,93.0283,44.4937,10.226,59.9383,114.6252,22.3507,13.6215,29.1462,35.363,47.049,33.5436,13.7659,20.067,71.4922,22.6835,7.007,49.9265,231.5304,658.1024,288.3991,223.664,215.271,9.397,11.7899,299.8425,233.0839,106.6963,43.8773,85.1249,17.7431,323.6618,91.546,243.6069,300.7859,1094.4962,266.1403,200.9399,121.3377,69.0649,0.0,794.9312,0.0459,14.3834,39.0128,6.485,0.0
ITA_I,150.4102,2.4954,87.5451,0.7237,1.4363,215.8293,414.6248,112.664,173.3229,450.2211,185.3196,110.7799,349.8427,296.8827,507.4672,541.5688,251.5347,360.6098,1300.2304,161.9698,53.1646,569.3386,1024.7195,272.8511,2214.4775,1613.1875,947.1368,144.5362,223.5945,185.9955,69.3201,572.8307,155.9492,201.5009,148.5012,183.4318,498.213,1162.7689,3396.0194,746.2184,1067.0329,917.0988,105.6639,438.3834,0.0,81406.9102,1609.1888,201.8692,0.0,0.0113,0.0
ITA_J58T60,8.0404,0.1257,391.473,3.0552,0.3066,282.8999,119.5208,11.7533,175.1999,25.1134,59.4425,40.4009,66.2905,30.2581,36.6093,61.9064,23.4598,40.3484,107.7727,48.2182,13.7677,102.3387,43.9325,62.5192,157.1065,1570.7519,76.4179,32.0325,56.3771,52.996,16.4997,211.1073,2465.8428,1851.1873,278.5184,138.3902,54.331,2654.4999,333.9306,98.5828,62.0159,56.4258,571.463,90.498,0.0,8022.3868,4.7305,2036.5256,1959.5583,-9.0351,0.0
ITA_J61,25.543,13.0054,49.33,0.4861,1.0864,719.2386,331.9268,85.1309,267.8713,94.9282,291.0873,95.5926,417.9592,432.1033,458.5496,418.7629,209.8162,155.0525,360.6653,242.4889,105.1206,221.2238,501.3398,466.8419,284.8802,1858.8972,198.3421,40.0476,38.6957,322.0028,16.8928,1116.5699,376.4845,7154.4183,358.1824,442.1646,189.9314,398.0673,335.033,622.1374,122.4927,515.0305,332.6346,283.5955,0.0,15540.0874,0.5539,122.5296,1063.0954,-50.3596,0.0
ITA_J62_63,59.2701,4.7165,284.6284,2.25,1.1328,737.7299,449.0662,85.0564,262.7728,157.9449,299.5303,164.5662,291.8561,245.9353,138.3173,447.6806,353.3828,290.2234,901.3385,712.6286,252.234,473.7965,889.607,384.231,1329.9264,4848.9674,662.5682,38.8601,74.865,874.0177,77.5251,873.7015,684.6278,420.7135,8341.838,4620.7142,631.5351,3190.4549,1750.4339,1094.9637,332.0785,681.802,510.7325,570.4697,0.0,2337.1968,10.3011,1360.5722,22639.3936,-6139.4076,0.0
ITA_K,915.7151,36.0777,441.6665,5.2654,5.7644,2616.3988,1767.5948,277.9404,819.0716,214.9696,1020.0596,408.9189,821.1418,985.4882,685.4058,1432.7071,396.1981,788.9342,2415.7456,764.2026,739.8933,1365.4524,1488.6955,747.0775,5500.1501,18272.7182,2313.1653,858.1044,357.306,1364.5577,211.1697,2431.5046,580.4786,814.4246,1128.8484,30879.9508,10735.3353,3240.3165,3124.7481,3736.2858,425.4794,1396.9923,1017.3359,1307.7125,0.0,34908.6553,0.4865,218.4526,1154.364,-160.2769,0.0
ITA_L,61.1052,5.9949,49.2789,3.8369,1.5418,970.2712,1479.1266,220.1421,440.8019,73.6462,373.3812,98.2996,420.9999,382.3525,194.1456,1207.6676,191.3479,372.6978,1171.4519,408.9427,185.851,936.631,670.7573,434.7008,1847.4025,16864.1813,1485.8474,74.7082,112.462,1367.0847,172.3521,5764.1653,760.4635,1598.2965,1377.8327,3439.1913,3047.4521,3212.4263,1889.1805,1499.2485,786.5304,2309.4439,1285.9826,1319.128,0.0,196006.9049,0.0298,628.3123,7750.0384,-11.2018,0.0
ITA_M,655.0002,8.4112,475.2784,8.9608,12.7575,4888.0805,3049.6561,355.2268,1189.672,382.86,1685.429,1081.5259,1579.7403,946.5103,1255.0027,2292.9726,947.4004,1472.1765,4636.8203,3315.764,996.9505,1925.3157,2431.0632,1371.0957,11967.8802,20298.9382,1744.9479,182.1987,190.7624,2442.2087,89.0624,2471.0439,2139.8934,892.3198,5788.9223,4502.2238,4638.2763,19523.8749,8535.9735,3746.5671,1792.8149,4108.202,2560.0967,1621.8557,0.0,9153.9058,408.8058,5688.3418,21511.6027,-99.317,0.0
ITA_N,439.8973,2.5439,255.9338,6.2526,8.2428,1763.5695,2214.3352,245.8405,872.2053,424.2276,690.025,464.4578,707.1653,982.4572,1431.4391,2197.4717,436.0624,911.0633,3147.4934,1101.9434,370.9499,1579.7581,885.3476,2775.9695,7652.7712,9721.0284,1989.4226,1506.5769,1969.3393,1678.9962,121.14,2128.7375,1996.9101,1231.773,1622.6322,1208.2703,2140.4117,5758.9042,6286.922,7826.7298,1101.5978,3744.8302,1396.3083,734.9971,0.0,13630.5177,28.1788,1914.7665,1961.9123,36.2133,0.0
ITA_O,148.8887,0.539,64.7249,1.9863,0.8025,692.7444,488.2749,138.3324,397.0659,551.7927,249.349,204.2893,226.8075,274.6267,1457.8286,434.6107,76.5869,187.1619,316.5098,201.088,79.8212,232.0637,268.9814,1758.5538,752.8651,2203.6483,451.5074,75.8775,55.6184,191.9438,77.1434,506.472,264.1059,143.3043,278.5355,248.8343,318.2217,920.6896,739.949,2563.4404,195.7116,656.3101,1020.5132,151.497,0.0,6885.1502,239.1437,131966.4305,785.5509,-89.0938,0.0
ITA_P,4.6827,0.0264,21.4278,0.1782,0.136,151.6659,60.9395,12.5785,30.9529,13.5097,67.8928,168.5814,50.9355,38.2173,30.6158,95.5999,63.1039,90.1071,171.8467,68.1348,34.5527,70.2032,101.0035,72.6439,208.5021,748.2394,113.6721,73.506,35.0503,246.5144,4.5392,65.3231,159.0329,48.4817,196.5655,98.3026,19.5431,456.9156,348.9701,605.8352,986.4426,171.6889,74.7531,419.2885,0.0,12194.5264,538.5001,62926.8665,97.0588,-20.0204,0.0
ITA_Q,48.6668,0.175,15.9916,0.1365,0.1414,55.4255,38.0066,8.8308,16.3472,24.8105,15.5411,22.7291,22.1734,25.7395,47.3601,42.9981,11.4165,22.8817,130.8671,55.3601,10.6236,137.9495,41.9646,140.1736,120.1358,108.522,63.2598,4.7392,6.4804,31.4505,5.6851,47.5684,19.4651,9.2653,31.2122,44.7428,37.0814,2042.023,1872.0235,393.743,462.9627,15196.3326,352.5776,44.031,0.0,28067.6238,757.3835,120604.0895,836.5213,-12.7231,0.0
ITA_R,33.8348,0.6433,35.7383,1.0751,0.5844,1092.0568,641.7445,43.9537,511.91,315.7453,97.5237,239.6936,345.4418,202.7943,79.4398,164.3334,54.5303,300.3541,176.7235,46.2414,27.2151,241.2853,207.4663,100.2238,608.2591,976.1764,138.7055,76.6894,95.773,84.899,16.5177,1162.8921,1409.8869,242.0429,166.5724,62.2334,235.6939,861.2419,1004.6029,185.807,116.0204,440.7788,7994.1273,502.2076,0.0,17263.1686,2171.1502,4039.2787,540.6365,17.1615,0.0
ITA_S,258.887,3.1249,24.1931,0.452,0.6159,217.9689,242.452,26.1763,91.5858,171.5448,75.8196,64.3257,102.9306,86.4991,169.9623,131.7254,52.7845,89.1977,243.317,84.2655,27.8565,236.7879,381.2558,386.6325,619.394,416.3241,111.5303,20.0162,13.3615,64.7817,34.7251,226.6098,194.7784,68.8619,160.0934,192.4391,135.9191,1032.5425,1509.9952,748.7238,260.6211,1434.6098,496.1909,418.1638,0.0,29581.2235,3234.9977,1638.2526,466.5787,-13.269,0.0
ITA_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20411.4182,0.0,0.0,0.0,0.0,0.0
