V1,SVN_A01_02,SVN_A03,SVN_B05_06,SVN_B07_08,SVN_B09,SVN_C10T12,SVN_C13T15,SVN_C16,SVN_C17_18,SVN_C19,SVN_C20,SVN_C21,SVN_C22,SVN_C23,SVN_C24,SVN_C25,SVN_C26,SVN_C27,SVN_C28,SVN_C29,SVN_C30,SVN_C31T33,SVN_D,SVN_E,SVN_F,SVN_G,SVN_H49,SVN_H50,SVN_H51,SVN_H52,SVN_H53,SVN_I,SVN_J58T60,SVN_J61,SVN_J62_63,SVN_K,SVN_L,SVN_M,SVN_N,SVN_O,SVN_P,SVN_Q,SVN_R,SVN_S,SVN_T,SVN_HFCE,SVN_NPISH,SVN_GGFC,SVN_GFCF,SVN_INVNT,SVN_DPABR
SVN_J62_63,2.3732,0.1223,0.7391,0.3466,0.0346,7.5908,1.6092,2.1493,9.6478,0.001,4.1644,32.5959,4.5751,4.1237,3.4031,6.2808,3.8188,10.9073,5.1198,7.4449,0.1601,3.7793,34.601,4.1048,7.1718,92.5987,10.6377,0.2013,15.6716,14.5166,3.0246,8.5357,8.1592,44.0855,149.4905,59.5231,4.3951,46.0843,14.8332,40.9335,11.9829,22.0431,9.2782,15.3466,0.0,48.404,0.226,9.8714,342.7455,0.9451,0.0
SVN_K,20.6397,0.2103,1.1629,3.7477,0.23,19.9533,3.9956,8.9547,11.5422,0.0012,16.5989,27.9813,12.1908,9.2049,18.2616,30.4225,5.847,25.5699,17.347,28.5606,1.095,15.3721,43.5331,17.1348,50.5484,174.7406,60.857,0.8149,6.5958,25.9574,6.621,36.1312,5.9592,14.3574,20.8551,410.9802,65.1194,69.4801,38.2416,69.5539,6.9262,17.1371,15.8534,14.6765,0.0,877.3444,0.1501,5.6395,20.9093,0.2936,0.0
SVN_L,2.3568,0.1973,0.075,0.1612,0.0288,7.6475,1.7291,3.0281,3.5635,0.0005,3.4881,6.9993,3.934,2.1622,4.7467,13.4205,1.6371,7.0119,4.0004,4.0298,1.032,4.4962,7.9083,31.5042,26.4747,170.2324,12.8228,0.1108,2.0828,18.053,1.9194,34.3396,3.684,10.4906,12.2719,12.7994,29.3252,27.9337,18.3046,22.5397,7.7741,12.301,8.8414,8.2137,0.0,2924.7969,0.1029,18.3569,40.2966,0.256,0.0
SVN_M,29.3695,0.4789,1.8528,3.5576,0.5283,63.5837,9.1784,18.1169,23.7416,0.0055,20.3872,300.7451,44.7318,24.8071,40.1033,67.1041,23.166,46.5148,39.2171,47.8795,1.4376,48.5559,60.2071,36.5527,282.2082,514.7621,95.2403,0.6649,6.3326,31.7591,2.8712,64.3321,72.3748,22.0675,44.2249,88.984,54.6702,566.5555,74.1748,111.6426,58.6753,73.1579,60.7692,47.8888,0.0,172.6007,4.3315,117.1048,630.9586,2.6601,0.0
SVN_N,4.8235,0.1009,0.6338,1.8067,0.1766,27.0115,5.9001,7.3457,18.9987,0.0008,7.1752,107.9094,15.2277,10.5206,15.3096,36.3081,6.7161,42.6721,22.5584,49.7737,0.5064,23.828,34.4749,14.5743,34.2221,195.311,33.0621,0.1177,13.7597,30.1282,9.6117,74.9928,11.7427,11.5693,20.9674,28.5827,14.0125,51.0254,134.357,21.0586,31.9158,33.3975,38.139,18.6241,0.0,207.4189,1.5324,27.0732,23.3233,1.2955,0.0
SVN_O,1.9512,0.1157,0.0433,0.0531,0.0192,5.6705,0.6916,1.6484,2.1901,0.0003,1.9945,6.8829,2.1678,1.0544,2.652,8.5422,1.1411,3.5467,2.1935,2.3277,0.5768,2.6017,4.5345,18.3016,10.773,78.6747,25.2965,1.2173,0.7869,21.5184,1.4818,14.0601,2.2978,9.3491,8.5395,16.2268,17.6834,20.138,11.5576,75.4975,5.1112,7.547,6.0173,4.7346,0.0,60.5325,38.8652,2823.5063,10.1181,0.067,0.0
SVN_P,3.1357,0.0477,0.0814,0.156,0.015,4.6457,0.4821,0.8978,1.4231,0.0003,0.967,10.6799,2.174,0.9026,1.3995,3.6161,2.0437,3.5703,2.1362,3.314,0.1265,2.0018,9.8342,1.951,4.6311,28.2375,5.0511,0.0343,4.3605,2.2111,0.575,3.8854,1.8611,2.5904,7.424,8.7903,1.3604,20.9301,3.8413,28.585,29.0353,18.2993,4.6184,6.1891,0.0,340.8969,33.7858,1963.396,70.451,0.2608,0.0
SVN_Q,1.4834,0.0317,0.1311,0.0773,0.0064,1.8759,0.3749,0.4424,0.758,0.0001,0.6046,4.3869,0.8166,0.6818,0.7318,1.9702,0.3381,1.1793,0.8001,1.3347,0.0496,1.0932,3.6735,1.6941,2.3693,10.1376,2.511,0.0312,0.2586,1.4769,0.424,4.1258,0.5568,0.6628,1.3966,2.0567,1.0331,3.2754,3.2204,5.8199,3.8985,148.4354,3.5806,34.3258,0.0,645.789,48.1032,2229.57,12.6343,0.1393,0.0
SVN_R,0.8398,0.0519,0.1085,0.2436,0.0042,1.7114,0.5285,0.5278,0.5995,0.0001,0.3853,4.438,0.4731,0.447,2.2391,1.1663,0.3157,1.1235,0.5829,2.8146,0.0766,1.7835,1.0455,1.1201,1.2278,8.9958,2.795,0.0685,0.3406,1.8489,0.1772,7.9197,4.9498,3.838,1.2285,3.5281,1.3675,3.9001,4.2359,2.5376,9.4395,1.6622,119.0294,5.8881,0.0,543.6644,76.9612,197.812,9.319,0.563,0.0
SVN_S,3.7221,0.4658,0.0971,0.23,0.0162,5.0561,0.699,0.6176,0.7348,0.0008,1.8404,2.9348,1.2259,1.3356,0.6696,3.4585,0.646,4.0991,1.1797,1.1528,0.148,1.2496,16.6579,3.3001,2.4502,23.0753,8.7028,0.2128,3.8519,3.0603,0.5443,14.3264,4.7177,1.8799,3.1241,14.2024,1.8652,15.0084,3.2818,15.2202,7.1207,16.3676,27.1508,60.6984,0.0,328.464,155.2844,39.9649,3.6666,0.2838,0.0
SVN_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.7467,0.0,0.0,0.0,0.0,0.0
