V1,CAN_A01_02,CAN_A03,CAN_B05_06,CAN_B07_08,CAN_B09,CAN_C10T12,CAN_C13T15,CAN_C16,CAN_C17_18,CAN_C19,CAN_C20,CAN_C21,CAN_C22,CAN_C23,CAN_C24,CAN_C25,CAN_C26,CAN_C27,CAN_C28,CAN_C29,CAN_C30,CAN_C31T33,CAN_D,CAN_E,CAN_F,CAN_G,CAN_H49,CAN_H50,CAN_H51,CAN_H52,CAN_H53,CAN_I,CAN_J58T60,CAN_J61,CAN_J62_63,CAN_K,CAN_L,CAN_M,CAN_N,CAN_O,CAN_P,CAN_Q,CAN_R,CAN_S,CAN_T,CAN_HFCE,CAN_NPISH,CAN_GGFC,CAN_GFCF,CAN_INVNT,CAN_DPABR
CAN_I,79.2615,9.9805,161.5315,40.3656,38.5598,413.2639,24.4329,43.0436,59.5537,13.3231,82.6918,69.2376,56.5379,48.8389,20.8392,92.3933,55.8402,35.105,130.8052,56.3675,54.9751,219.2646,49.8726,79.27,254.0606,2184.0121,140.1109,1.6977,443.7923,486.8101,49.0044,290.9595,300.1804,172.9694,414.764,1179.0848,844.6593,1375.0695,872.8043,828.6079,596.3249,1185.953,280.1213,362.8881,0.0,48172.3576,131.2313,5.2596,204.7657,6.4726,0.0
CAN_J58T60,27.6816,2.2488,96.1258,14.5516,7.5804,145.9568,7.841,14.1165,21.8267,5.2915,31.4492,22.3169,17.5711,17.3547,7.9967,25.4591,25.406,12.4378,39.4178,18.9825,22.7818,55.0775,56.2188,48.382,120.2763,2031.1593,66.4653,1.7383,33.9584,65.3983,23.6255,158.0082,3336.4117,1670.6777,1463.5587,1063.5623,286.1596,511.6114,375.6083,737.6265,773.0106,319.1341,144.7094,116.5976,0.0,10083.2564,2.8034,25.7168,2476.0926,-619.7601,0.0
CAN_J61,206.8328,0.6154,170.2782,34.9341,27.2779,131.4881,17.309,28.1078,43.6832,9.7435,50.6803,27.689,35.4914,38.0504,18.3651,62.5275,47.4043,23.3764,88.0277,42.4532,34.7315,108.624,80.131,75.1138,384.9496,1374.7773,297.8285,4.1859,177.6383,384.0357,60.0094,309.1141,395.7758,3121.2788,919.6915,3263.3672,1118.2577,942.792,886.6353,1078.9237,358.0926,1335.0871,135.0649,288.8319,0.0,23796.6718,0.3864,0.0,458.1936,5.6636,0.0
CAN_J62_63,39.66,1.6331,745.8161,98.2486,16.1407,185.584,11.7329,24.4144,30.6328,13.4334,61.8085,36.3395,31.5937,34.6581,17.9733,45.7978,37.594,25.9344,76.0295,48.1166,61.4306,104.2209,375.4337,154.3,405.4242,2156.6359,308.3349,1.8732,102.3768,159.3673,126.8533,198.7055,323.2701,1023.267,4106.1463,8106.8894,481.663,1966.9231,683.6344,2606.2663,451.9215,527.3518,183.9524,222.7751,0.0,1054.3653,2.475,137.1033,11981.8578,-91.7398,0.0
CAN_K,1811.4954,86.4327,3920.6534,663.7537,267.3687,1464.9903,149.0351,663.2644,705.0904,569.2215,795.9898,259.337,425.2896,429.8938,668.5234,693.5396,331.8284,185.6057,709.3894,1434.0537,420.4337,803.5463,1064.0235,423.9753,6964.7721,16340.6142,2124.4387,79.2949,689.545,1224.9448,273.9596,3219.3243,989.0199,1100.1343,1022.6075,31813.5454,14597.7078,2329.0773,2673.7895,3411.6635,269.03,1863.8843,718.2059,1057.1061,0.0,69430.3879,46.2862,5.5383,1824.7759,18.5479,0.0
CAN_L,79.2803,1.3612,104.9413,45.023,8.167,144.2559,34.0696,49.7423,108.7897,21.6851,54.9345,28.4604,87.3555,41.6641,22.4864,145.2549,67.896,25.4564,163.031,69.6003,32.923,360.7213,186.8393,125.0144,833.9331,9381.0639,303.1969,15.5416,55.6122,536.0835,165.2861,1548.5119,547.7853,603.7145,902.6213,2894.488,3461.5835,2483.8598,1562.7464,2650.1096,705.1935,2684.3408,719.8339,1736.3633,0.0,183275.4894,1590.4695,0.9057,13486.6301,1.5897,0.0
CAN_M,1232.0568,20.4454,4055.8166,657.1051,826.9487,1430.2581,76.5825,258.6646,386.7023,197.04,514.6394,449.1658,263.8542,383.6947,308.1321,275.2354,384.9111,116.3253,437.057,240.6062,558.5525,404.3552,1325.2805,220.9187,14010.4419,13145.6465,572.9116,8.1588,218.8372,359.3455,74.9579,735.0193,858.1684,1243.7988,648.5467,7494.5506,2655.1853,6996.5932,2883.5419,6838.6343,1041.1353,1786.7443,435.5824,974.1919,0.0,7237.9188,2.6253,83.0936,6661.9272,13.9255,0.0
CAN_N,332.3129,20.7172,1875.0674,216.4253,294.1038,607.5172,39.1691,96.2896,193.0507,48.9128,328.6885,136.4887,201.9826,144.0429,164.357,270.0425,149.1432,68.475,214.9075,746.4607,201.4697,484.6977,368.8432,456.5844,3323.7556,8438.8411,1713.9165,44.0696,309.7038,772.4616,303.429,1423.965,1019.1253,1397.8441,2368.8502,7863.1062,4557.9963,3798.3822,3714.3916,4703.3724,1506.7007,2447.3287,1012.0429,1113.0797,0.0,5890.4962,0.279,1.576,315.9695,22.1141,0.0
CAN_O,192.2094,10.1158,450.1258,72.4022,46.6397,665.4952,29.2696,82.7178,152.6277,79.7355,263.6928,66.5563,127.4635,99.9487,141.165,145.5025,60.7842,38.5164,154.4622,203.0217,92.0113,149.7565,71.8181,84.9722,1104.3216,1742.0575,388.0484,42.9239,145.7347,171.6471,46.9275,442.803,278.33,219.5352,355.2421,1595.5201,991.6057,559.0105,346.041,3210.7298,362.7675,1139.3786,221.8136,403.026,0.0,8889.3911,1117.0208,152801.6586,2533.2888,42.5867,0.0
CAN_P,23.1274,1.857,84.0779,12.5096,16.9872,59.5209,3.5388,10.9979,14.7242,10.6458,21.5307,11.9223,13.7513,10.9842,11.7575,13.2146,10.5736,5.3142,20.3192,12.3769,12.9273,30.1368,24.0785,10.2972,425.029,425.8543,110.9487,13.1132,101.2959,30.9531,18.1544,76.0727,107.4586,41.6187,299.0444,502.9757,107.2115,266.1834,135.261,1088.725,202.3086,244.0851,32.6839,48.1782,0.0,11452.8182,1353.3127,70080.8047,7647.8549,2.0779,0.0
CAN_Q,33.8709,2.728,48.5398,13.3772,7.223,80.2243,4.8412,17.1205,21.9122,14.8529,30.7719,12.1822,23.4322,17.5182,21.739,22.0277,8.5633,6.3732,27.295,30.6524,16.0359,24.39,11.6015,10.7046,148.0041,236.0835,98.069,21.6314,59.515,19.6449,9.8465,47.6138,24.4163,34.8563,70.7427,300.0517,94.9172,86.6208,70.9241,17556.4161,61.0452,6619.8828,25.4477,26.8954,0.0,31493.3337,5085.2849,95373.7964,346.1493,9.4413,0.0
CAN_R,13.0599,1.0379,34.4301,5.593,6.5949,81.5685,3.6556,6.3433,12.9784,2.1555,14.468,14.5491,10.313,8.4415,4.231,12.7438,7.8311,4.5978,14.5522,16.1851,10.6993,27.8148,9.9295,21.9481,83.9123,365.9006,24.1043,1.003,14.9167,30.6469,8.5241,203.6922,631.7585,124.7921,105.4432,323.5794,257.8254,193.9466,252.5696,423.9726,95.5612,119.5669,982.7769,58.3574,0.0,15037.3081,577.4697,1.1411,91.8196,3.4332,0.0
CAN_S,135.7214,15.1189,198.9179,130.5438,31.1274,197.6803,13.1594,38.4015,46.2589,35.0603,92.4993,20.7223,51.1828,37.8001,43.0855,41.4151,17.592,13.7038,56.3013,63.5422,29.3703,52.4734,16.5331,7.3303,463.775,479.4935,423.4212,52.0512,141.134,148.6396,26.77,142.8372,176.9746,96.0908,234.2047,1078.8261,455.8423,485.8976,559.6989,326.4304,414.6788,1353.1191,151.9384,233.7673,0.0,9464.4513,11204.6604,19.6681,312.655,19.1508,0.0
CAN_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2506.0099,0.0,0.0,0.0,0.0,0.0
