V1,FIN_A01_02,FIN_A03,FIN_B05_06,FIN_B07_08,FIN_B09,FIN_C10T12,FIN_C13T15,FIN_C16,FIN_C17_18,FIN_C19,FIN_C20,FIN_C21,FIN_C22,FIN_C23,FIN_C24,FIN_C25,FIN_C26,FIN_C27,FIN_C28,FIN_C29,FIN_C30,FIN_C31T33,FIN_D,FIN_E,FIN_F,FIN_G,FIN_H49,FIN_H50,FIN_H51,FIN_H52,FIN_H53,FIN_I,FIN_J58T60,FIN_J61,FIN_J62_63,FIN_K,FIN_L,FIN_M,FIN_N,FIN_O,FIN_P,FIN_Q,FIN_R,FIN_S,FIN_T,FIN_HFCE,FIN_NPISH,FIN_GGFC,FIN_GFCF,FIN_INVNT,FIN_DPABR
FIN_C20,156.2165,0.1208,6.564,25.4571,2.6975,62.2738,27.072,46.6031,447.3483,59.1578,973.2855,24.3376,301.1384,40.5846,40.297,27.1433,44.7447,29.3951,24.9347,8.5771,16.9355,15.6943,66.0689,58.076,150.8347,36.6311,8.3514,3.2963,4.1769,28.6369,1.3944,6.1044,13.5443,3.6001,14.0668,7.8396,5.5324,39.5798,47.4972,35.7202,7.5203,92.2381,14.3187,45.7297,0.0,613.6843,2.706,64.9188,134.9543,36.824,0.0
FIN_C21,5.5599,0.0433,0.2135,1.9371,0.0862,5.5115,1.8019,2.5435,7.4176,2.0502,23.8369,29.9413,1.2552,1.0797,1.4208,2.0173,37.0909,2.3212,6.6289,0.4279,2.8211,10.7454,3.5107,2.7737,25.1579,15.3794,2.4784,1.3769,1.7049,2.3802,0.668,3.3004,4.1777,1.361,6.3619,4.6246,1.9746,17.1201,6.868,24.6953,9.7711,522.757,3.6053,2.2856,0.0,495.842,1.3905,433.6917,168.3654,10.9607,0.0
FIN_C22,2.6315,0.0454,0.5983,1.5512,0.2127,116.4844,2.1662,22.8835,61.0048,10.1149,32.4149,25.1155,134.5131,19.5202,4.8769,22.8222,18.0419,24.9974,65.2607,12.4449,11.056,34.4676,9.5292,4.4856,607.4694,39.2774,68.2122,1.2684,1.9607,23.1055,0.4323,2.7333,4.7003,1.9761,4.2966,5.6705,4.4167,13.3155,81.9589,24.5055,4.8791,24.6117,5.4503,22.2135,0.0,317.3463,0.3488,6.1464,53.1074,17.4296,0.0
FIN_C23,6.7867,0.0389,9.9911,36.2748,4.4737,10.5176,1.5141,22.9766,38.8874,2.0308,25.4212,1.3082,13.6869,296.0535,71.5598,43.4912,12.4503,16.948,17.4341,6.9189,13.9583,11.9045,39.1078,4.8878,1547.0927,99.5609,3.7753,1.8739,2.0106,1.9328,0.9119,2.5095,5.0032,2.1038,10.6917,5.9525,3.4744,25.6631,11.8752,13.1476,2.1229,20.5547,2.2247,10.5192,0.0,177.4003,1.8693,6.673,42.4528,17.7515,0.0
FIN_C24,0.0,0.0,0.0118,0.032,0.006,0.9006,2.7226,14.5735,18.0763,5.8984,3.0522,0.352,41.1923,80.1615,1912.8424,1168.7804,20.5604,257.0068,513.72,74.0361,222.6778,83.9539,0.6639,3.0516,101.8322,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0831,0.0,0.0,0.0,0.0,0.0,0.0,0.0038,0.0038,0.0076,0.0,0.7771,0.0,2.167,0.0,0.0,0.0,56.542,0.0
FIN_C25,24.6621,0.1605,2.0382,5.3151,0.8319,59.9156,1.8288,51.4878,23.1715,18.0868,15.7107,3.0099,39.643,61.9682,176.52,902.667,54.4717,173.1549,1220.034,49.8087,147.4945,157.4469,24.7106,22.8256,1443.7897,37.775,12.6662,5.4739,8.9883,81.087,1.6693,7.7887,9.9485,22.5284,18.1488,15.1638,16.5669,42.4979,31.3009,98.7862,26.5945,18.3842,10.2443,25.3503,0.0,435.0042,2.2099,12.3609,509.8088,38.7957,0.0
FIN_C26,89.7039,0.184,1.1863,4.0983,0.5427,36.2455,2.6285,12.1121,62.901,14.1216,30.4302,12.6226,11.8279,11.0618,21.3171,14.9569,526.2459,103.2761,139.7625,5.8822,26.6556,68.2145,53.6226,16.819,174.0878,319.141,29.1215,13.9897,36.8933,34.2555,17.0751,29.1675,111.6972,74.7102,389.0858,222.9508,29.0018,278.8127,101.8381,296.1305,60.718,132.9628,50.0414,50.741,0.0,467.1473,3.8379,132.0536,1612.2785,17.0949,0.0
FIN_C27,11.5595,0.1099,0.5688,1.7861,0.2489,13.6381,1.0699,6.8538,14.7945,5.1632,8.4126,2.9239,6.3871,4.8449,5.0604,11.1413,96.3683,328.7925,117.9811,4.537,27.5266,141.1286,10.5073,15.3886,424.8123,74.3868,13.6049,4.2084,5.3552,6.4969,1.8455,6.8274,12.0428,6.1039,20.8486,11.9522,6.076,52.1474,32.1903,53.28,16.5964,31.3823,9.8453,15.3084,0.0,401.7706,2.9811,34.5167,427.3356,18.2729,0.0
FIN_C28,75.0371,1.1418,11.0833,27.3607,3.7522,91.6028,4.619,28.8899,152.0778,52.8803,45.4339,11.7813,19.0738,39.6095,56.9715,94.617,169.3761,120.6442,1493.8247,117.3408,75.7161,145.3414,181.4928,157.8669,662.2302,274.9893,82.076,54.6548,90.2978,46.9469,13.5708,27.2297,60.0788,35.4298,98.7345,41.4456,25.9638,184.8183,80.6083,300.8179,23.4928,66.1743,23.3054,33.3899,0.0,587.554,19.7858,95.3166,2333.2451,46.9658,0.0
FIN_C29,1.5799,0.0117,0.0706,0.221,0.0304,1.8754,0.1289,0.7166,1.6072,0.7889,1.2013,0.2511,1.5646,0.5944,1.2145,4.0066,6.3527,2.8331,77.1204,55.8623,3.3702,3.5657,1.1231,1.2424,15.8138,75.1048,14.8722,0.3319,0.5291,9.8361,0.113,0.5796,0.8975,1.0826,1.0601,0.5724,0.4935,2.4405,2.6651,9.2384,0.3583,1.5434,0.298,0.3823,0.0,384.8922,0.1321,4.2563,355.3253,7.105,0.0
FIN_C30,0.0,2.0626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0107,0.0005,0.0,0.1287,0.0438,0.7542,0.1201,1.1778,146.0717,109.9224,0.0,0.0,0.0,0.5742,2.5619,6.0937,1.2217,1.6786,0.0,0.0,0.0018,0.0,0.0,0.0,0.0111,0.1003,7.4688,105.9326,0.069,0.0094,0.0041,0.0,0.0,620.2187,0.0,0.0,555.4863,29.3071,0.0
FIN_C31T33,45.8244,2.1743,21.4141,49.6114,6.3736,118.0772,3.8925,31.5481,290.2535,87.8018,39.1785,7.8006,20.4291,61.6409,75.6924,71.1959,64.6918,27.2522,233.3413,5.4333,22.9461,205.3192,367.4625,323.4821,275.7485,172.8698,100.952,93.4946,181.4221,19.8613,10.8939,20.042,17.8454,35.2824,19.7263,26.8812,5.8689,66.9263,53.3574,83.5632,19.3271,156.5114,20.4516,18.2008,0.0,806.8055,3.5755,10.6176,308.2494,2.2106,0.0
FIN_D,144.0022,5.6182,15.0228,53.3438,2.9105,158.942,13.9749,179.014,764.8965,75.5855,271.0314,14.0438,72.3667,87.6358,245.6048,67.705,48.2358,25.2336,88.051,11.7594,22.6913,39.3975,332.932,90.9273,203.8839,715.6315,101.9267,21.4167,40.8998,103.2985,11.7189,185.2301,24.9163,63.5166,45.9865,121.0524,924.355,122.0716,98.447,483.3712,209.5662,346.9253,260.2908,328.472,0.0,2057.0027,0.1392,14.6677,275.1206,-0.7436,0.0
FIN_E,3.3692,0.1,3.453,7.0877,1.1661,32.1536,2.5287,36.5623,111.9618,9.3974,20.9307,3.4008,19.1917,13.4472,776.5919,23.6292,24.6697,10.464,73.3949,2.7581,13.3243,20.3309,101.0208,442.3672,161.8782,169.1768,12.1383,9.4783,5.4071,5.8384,2.5141,57.9179,18.1237,9.6056,32.4388,36.0221,444.1476,77.3794,175.5483,158.8099,50.4535,77.204,19.5104,28.9836,0.0,454.022,0.0832,128.1919,137.3733,-2.3032,0.0
FIN_F,304.6437,0.0842,3.5486,9.497,1.2317,59.5732,2.2363,43.1114,63.2781,88.9507,85.4404,7.4269,18.8197,24.0774,47.309,21.7326,27.345,15.1282,26.3409,6.025,9.8034,23.7194,669.0885,50.4174,4006.0742,259.4091,211.4,31.1736,92.6184,70.3256,31.5461,55.6368,6.3035,36.0296,10.6668,40.4709,2198.3282,33.8613,89.8403,892.6556,100.1674,96.54,86.2834,9.8813,0.0,34.971,0.0623,382.2693,26399.9925,0.1043,0.0
FIN_G,765.7666,11.2114,9.0787,31.8431,3.7121,1274.4808,145.1689,488.6663,794.448,392.6633,463.8659,52.3667,155.9301,144.5658,130.4619,193.3298,205.0232,163.4169,461.6153,84.3693,93.5144,255.0254,172.1694,115.0759,1594.0176,1107.9014,1418.3248,76.8804,92.9807,237.0265,26.7933,603.9976,289.3712,75.2901,148.7753,206.8442,265.497,473.2688,372.5029,436.6542,200.1479,865.3621,246.1563,314.7436,0.0,10590.0222,0.3232,318.2515,1231.6225,155.457,0.0
FIN_H49,65.2124,1.8742,9.0706,33.5435,2.595,305.5634,21.8888,216.6636,679.2502,187.215,172.4729,17.4188,52.7713,84.8427,103.7904,58.6824,59.6499,34.6426,169.0694,43.8508,14.07,46.8659,47.8447,15.3111,393.2282,702.8311,810.693,84.197,11.638,223.5309,122.6334,68.5183,100.586,19.9565,23.6637,104.0744,30.7669,115.0387,65.9107,637.7142,188.876,379.2819,98.9439,189.4676,0.0,1958.4891,0.0675,65.9893,106.6489,200.8161,0.0
FIN_H50,14.0737,0.3082,0.5509,2.2602,0.2456,37.3141,4.3794,15.4936,23.8928,19.3563,17.3618,1.68,4.8923,12.9429,18.9041,15.3106,16.1092,8.7171,25.3071,1.4501,3.0737,8.4397,4.8887,3.0612,29.9653,72.4393,9.4908,89.6707,5.8109,8.2207,0.8712,33.613,11.4365,4.7132,7.4327,8.5227,6.2834,25.2298,33.2549,30.8009,19.9607,42.8028,8.4437,6.875,0.0,391.2974,0.0203,17.1639,23.3645,39.3939,0.0
FIN_H51,14.0644,0.5052,0.9668,3.495,0.3561,17.7778,1.9263,6.1728,13.0569,32.1816,15.129,1.2513,4.4442,3.5472,13.6917,7.285,6.953,6.2656,17.5467,2.8205,3.1513,5.9377,8.9876,2.9207,43.1936,64.4419,29.075,4.3714,25.5322,29.2251,8.2746,14.9148,9.6436,5.0879,12.4254,19.3104,9.1144,37.2769,63.3255,38.5894,22.5807,48.8423,15.636,19.054,0.0,187.1459,0.0485,5.9718,33.2047,178.1693,0.0
FIN_H52,9.7101,0.2181,11.6917,27.2974,2.0536,244.2265,16.4517,204.893,688.0304,72.143,151.5963,15.8981,45.4128,91.3519,98.2134,58.5773,68.5964,28.6337,161.9429,40.0187,7.2542,34.1076,7.1095,80.6207,39.7948,865.2677,15.6582,356.0582,189.4522,2033.9711,11.479,24.8407,77.4105,1.6998,25.5255,4.4811,7.7715,51.5207,25.1446,13.5128,54.0576,31.136,13.1226,3.7114,0.0,415.1639,49.0174,419.5219,48.4272,3.6767,0.0
FIN_H53,8.2145,0.5388,2.8356,7.9188,1.2696,26.6209,4.2191,17.5577,26.8396,14.3749,21.255,2.5538,17.5286,10.2094,20.4592,33.4024,38.8045,25.139,128.2739,8.6696,8.7649,35.4954,31.9046,3.3523,18.8517,93.4904,12.6108,14.9102,9.2893,2.3516,3.794,13.2663,17.8915,11.7924,10.0173,47.3631,34.6926,44.9712,24.6018,107.3842,37.472,77.6957,33.3196,50.4692,0.0,90.8045,0.036,1.43,9.079,1.159,0.0
FIN_I,10.6888,0.5775,0.9031,0.7617,0.0578,4.4748,0.1196,1.9969,5.1452,0.5766,1.7989,4.861,3.0771,2.4088,0.6518,3.9137,3.1036,4.797,9.5834,0.5666,1.052,4.6317,2.1811,3.5009,46.5673,290.9148,82.4916,30.5001,91.4585,35.1486,4.0847,38.2735,48.1071,21.2363,28.9366,172.9897,26.7078,109.8184,86.3179,271.0288,304.8687,641.2774,124.6072,85.7104,0.0,5444.9031,0.0,22.6719,0.0,0.0009,0.0
FIN_J58T60,4.0918,0.1077,3.5178,7.7791,0.5164,115.4521,7.2121,14.2374,70.069,15.4493,20.9877,36.2708,14.9878,19.9331,16.3188,20.2388,141.4291,27.7051,70.1327,3.6169,7.4177,29.0425,50.9559,32.1181,26.4938,445.3092,17.0214,17.1888,22.2801,48.7079,7.8897,85.939,539.6431,15.1509,169.5183,233.9605,28.3685,230.461,111.5749,223.9487,131.872,141.3248,303.3235,103.8063,0.0,1281.2556,0.2702,217.8829,524.6726,3.0394,0.0
FIN_J61,7.4795,0.3145,1.4216,4.3895,0.7502,22.758,1.6171,9.5177,17.2885,10.0762,10.0793,1.6429,8.7765,5.68,14.4957,18.8248,21.5529,12.494,65.3932,3.4704,3.9164,21.3606,63.8288,6.6125,37.5548,109.786,30.7576,10.5942,14.1015,7.8978,1.1129,55.19,75.5454,630.7821,68.424,205.3196,59.3898,94.0745,97.1764,305.2454,117.5345,214.8568,92.4573,120.0651,0.0,1512.4837,0.1078,4.8482,35.8402,1.1205,0.0
FIN_J62_63,9.6512,0.2531,0.9186,2.8918,0.4308,66.936,4.0839,20.3307,121.8764,25.5975,25.4573,15.9529,12.7707,20.1473,44.8116,26.1491,283.8451,29.1523,203.3174,5.3715,14.9067,36.8336,101.4376,13.3236,77.165,527.8772,33.9069,11.3946,55.0275,54.6721,33.4014,56.389,221.9218,107.2933,836.7063,503.7034,61.3064,244.4353,98.9279,640.1867,132.5986,137.6887,91.4229,64.1865,0.0,335.6179,0.7683,34.9814,1363.3576,0.4587,0.0
FIN_K,116.9737,2.2607,9.3757,27.8681,2.677,82.1737,12.7082,51.6161,112.7723,49.9492,67.7229,8.7701,49.3537,29.1023,87.0774,100.9293,114.2128,69.4689,321.1071,22.0869,23.6403,117.8673,266.9351,29.7061,143.7598,600.103,96.4099,60.5479,65.1054,38.121,12.6804,92.2874,65.5108,73.5127,76.6692,2739.8566,1952.0978,244.8718,124.5377,320.3877,123.0521,285.4999,95.545,106.8916,0.0,4097.392,0.3513,14.5736,106.8833,1.986,0.0
FIN_L,12.411,0.6498,1.4807,7.7586,1.1287,86.0805,8.3195,20.0151,73.8311,5.3148,17.7469,3.1799,24.2194,24.2148,14.3911,96.5741,57.6391,25.4799,91.8772,11.5968,21.2457,90.2897,55.7114,47.6242,144.5976,2171.2391,108.1176,39.8841,104.0794,188.0521,46.511,503.5271,115.4686,67.9001,109.7594,208.5411,325.1694,437.3461,176.6009,909.7812,383.3855,743.5374,278.4922,200.2608,0.0,26356.7276,11.0694,486.7339,1057.8416,0.025,0.0
FIN_M,46.5341,1.1335,14.8369,45.0467,8.7377,178.7567,13.2097,63.3722,155.7849,21.9629,76.6648,83.9605,43.8608,44.4459,62.5162,141.168,783.4652,70.6805,463.1273,23.7411,201.6781,123.5672,248.6834,61.9273,1589.9995,1470.6018,147.3557,123.5045,112.3878,122.1995,53.6221,177.9523,408.1628,174.3754,569.5856,265.1359,216.9786,1408.0535,378.4735,903.7125,72.5934,136.8943,104.034,128.3184,0.0,492.3227,116.1586,587.3952,2109.5198,-35.6878,0.0
FIN_N,110.4088,1.0013,2.6232,12.1907,1.454,124.3706,14.9741,41.5201,73.2102,57.6699,60.6418,33.0891,45.8862,65.7715,45.1319,166.3194,128.1492,85.8864,237.58,35.4531,34.0343,108.5085,164.1382,43.7773,613.5615,1069.3493,141.7804,135.8738,104.4979,397.8802,43.7137,366.0124,131.0148,83.8409,178.5637,217.6027,986.4707,415.9122,811.4997,710.3791,307.8875,711.4011,184.3285,140.4413,0.0,631.4932,1.6544,214.7935,97.0484,-13.0381,0.0
FIN_O,40.3273,1.1092,11.9659,27.9864,3.7987,102.3937,13.6146,59.6,141.7674,24.9158,60.7913,16.9628,49.0856,36.5648,81.8865,122.4427,134.6317,65.9375,381.3646,19.249,43.0205,105.4488,97.8901,28.2474,353.3138,490.1098,122.5068,48.8518,51.9064,86.6714,11.9828,65.1313,97.6779,68.3742,127.032,151.2318,201.2035,344.9017,131.7893,288.9778,105.6167,466.9066,98.3908,151.4489,0.0,809.7182,64.8144,17073.6294,212.9297,-5.9053,0.0
FIN_P,2.0495,0.0607,0.9642,2.1501,0.3114,10.9848,0.4804,2.0364,5.054,3.1504,14.2914,34.1261,3.5323,10.59,89.291,9.7963,328.1852,30.3596,74.2949,4.6024,3.8177,6.6556,29.5161,7.4285,7.526,53.1957,5.0269,4.8532,1.6068,8.994,1.8518,8.9909,19.2872,6.5387,40.5516,26.5631,12.4127,125.2961,8.2437,230.086,513.0845,177.2609,66.4413,116.1115,0.0,639.0606,905.2982,10656.8539,978.1776,0.0446,0.0
FIN_Q,12.6448,0.0128,0.0344,0.1773,0.0282,1.7441,0.1594,0.4533,1.6348,0.1449,0.4629,0.1561,0.4966,0.4712,0.3816,1.8345,3.5283,0.5844,2.2887,0.2335,0.5222,1.7267,1.3495,1.6673,4.0166,61.1705,23.7551,6.2072,5.1622,7.5314,3.6647,8.9505,26.8393,6.3002,27.9758,25.003,6.2742,20.3343,6.8035,131.491,80.703,1889.1277,12.0336,4.9418,0.0,5809.6668,831.7106,22542.3362,28.4698,0.003,0.0
FIN_R,7.846,0.2117,1.2778,2.5953,0.039,23.8235,0.7756,1.5423,3.691,0.2545,1.9733,2.6352,2.2059,1.8654,1.0901,3.3024,10.004,2.4249,8.1224,0.2016,0.9531,2.9743,5.8849,2.6157,18.5152,48.5339,10.2054,21.0452,3.6724,2.2956,4.4473,21.2105,15.8557,5.129,9.2362,22.1108,11.4504,23.8086,9.4409,45.9256,160.2137,34.6402,67.3247,11.5145,0.0,3292.0578,708.5602,1005.3496,128.901,4.3823,0.0
FIN_S,10.2686,1.7986,0.5433,2.1014,0.0779,26.4376,3.0145,9.9991,17.984,12.4477,10.8668,4.3909,6.258,8.7568,9.7874,17.4736,36.7059,15.0407,28.2963,2.3866,6.2703,11.8865,15.8366,6.1451,31.323,130.4275,52.9351,5.981,8.5343,8.1065,3.8,125.683,31.0366,10.4927,35.6779,84.1005,28.1014,122.5302,44.3551,120.9044,73.9093,214.3281,42.4783,58.863,0.0,1957.3816,2874.3378,240.0183,59.0033,0.5768,0.0
FIN_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.8508,0.0,0.0,0.0,0.0,0.0
